#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,8.53262E-05,0.001002138,0.998912536,0,0,0,0
-1,0,0,8.53262E-05,0.001002138,0.998912536,0,0,0,0
-1,0,0,8.53262E-05,0.001002138,0.998912536,0,0,0,0
-1,0,0,8.53262E-05,0.001002138,0.998912536,0,0,0,0
0,-1,0,0.000109203,0.001282562,0,0.998608236,0,0,0
0,-1,0,0.000109203,0.001282562,0,0.998608236,0,0,0
0,-1,0,0.000109203,0.001282562,0,0.998608236,0,0,0
0,-1,0,0.000109203,0.001282562,0,0.998608236,0,0,0
0,0,-1,0.000160533,0.001885432,0,0,0.997954034,0,0
0,0,-1,0.000160533,0.001885432,0,0,0.997954034,0,0
0,0,-1,0.000160533,0.001885432,0,0,0.997954034,0,0
0,0,-1,0.000160533,0.001885432,0,0,0.997954034,0,0
-0.9,0,-0.1,9.28469E-05,0.001090467,0.998816686,0,0,0,0
-0.9,0,-0.1,9.28469E-05,0.001090467,0.998816686,0,0,0,0
-0.9,0,-0.1,9.28469E-05,0.001090467,0.998816686,0,0,0,0
-0.9,0,-0.1,9.28469E-05,0.001090467,0.998816686,0,0,0,0
0,-0.9,-0.1,0.000114336,0.001342849,0,0.998542815,0,0,0
0,-0.9,-0.1,0.000114336,0.001342849,0,0.998542815,0,0,0
0,-0.9,-0.1,0.000114336,0.001342849,0,0.998542815,0,0,0
0,-0.9,-0.1,0.000114336,0.001342849,0,0.998542815,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.038403671,0.372680329
0,0,0,0,0,-1,0,0,0.038403671,0.372680329
0,0,0,0,0,-1,0,0,0.038403671,0.372680329
0,0,0,0,0,-1,0,0,0.038403671,0.372680329
0,0,0,0,0,0,-1,0,0.049150003,0.304281997
0,0,0,0,0,0,-1,0,0.049150003,0.304281997
0,0,0,0,0,0,-1,0,0.049150003,0.304281997
0,0,0,0,0,0,-1,0,0.049150003,0.304281997
0,0,0,0,0,0,0,-1,0.07225306,0.31302694
0,0,0,0,0,0,0,-1,0.07225306,0.31302694
0,0,0,0,0,0,0,-1,0.07225306,0.31302694
0,0,0,0,0,0,0,-1,0.07225306,0.31302694
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
