# TECHS,tech_alias,tech_cap (t/year),tech_invcost ($),tech_refprod,operating_cost($/yr)
t11,C8_AM1,250000,2567768.36,p1,1755108.539
t12,C8_AM2,150000,1889933.806,p1,1087992.402
t13,C8_AM3,50000,977628.4705,p1,397429.1876
t14,C8_AM4,30000,719555.9867,p1,251755.403
t21,C8_S1,100000,1545022.329,p2,765497.7491
t22,C8_S2,70000,1247365.088,p2,552433.3701
t23,C8_S3,35000,822954.0503,p2,296143.8357
t24,C8_S4,15000,494982.1251,p2,141147.5399
t31,C8_FW1,30000,808274.4,p3,271648.1163
t32,C8_FW2,20000,633729.7109,p3,190586.7553
t33,C8_FW3,10000,418105.6834,p3,105417.4604
t34,C8_FW4,5000,275846.8784,p3,59388.13389
t41,C8_AM+FW1,250000,2567768.36,p1,1755108.539
t42,C8_AM+FW2,150000,1889933.806,p1,1087992.402
t43,C8_AM+FW3,50000,977628.4705,p1,397429.1876
t44,C8_AM+FW4,30000,719555.9867,p1,251755.403
t51,C8_S+FW1,100000,1545022.329,p2,765497.7491
t52,C8_S+FW2,70000,1247365.088,p2,552433.3701
t53,C8_S+FW3,35000,822954.0503,p2,296143.8357
t54,C8_S+FW4,15000,494982.1251,p2,141147.5399
t61,Bg_AM1,250000,3511079.46,p1,1062751.285
t62,Bg_AM2,150000,2625333.37,p1,667467.9013
t63,Bg_AM3,50000,1433197.51,p1,254571.416
t64,Bg_AM4,30000,1095966.71,p1,166312.3001
t71,Bg_S1,100000,2092023.1,p2,560989.6261
t72,Bg_S2,70000,1718979.96,p2,407326.5743
t73,Bg_S3,35000,1187080.82,p2,222495.1516
t74,Bg_S4,15000,776045.37,p2,110720.8498
t81,Bg_FW1,30000,1095966.71,p3,257370.4694
t82,Bg_FW2,20000,892919.07,p3,180908.8192
t83,Bg_FW3,10000,642083.88,p3,101700.0574
t84,Bg_FW4,5000,476594.38,p3,59792.10526
t91,Bg_IntAM1,250000,3511079.46,p6,1062751.285
t92,Bg_IntAM2,150000,2625333.37,p6,667467.9013
t93,Bg_IntAM3,50000,1433197.51,p6,254571.416
t94,Bg_IntAM4,30000,1095966.71,p6,166312.3001
tA1,Bg_IntS1,100000,2092023.1,p7,560989.6261
tA2,Bg_IntS2,70000,1718979.96,p7,407326.5743
tA3,Bg_IntS3,35000,1187080.82,p7,222495.1516
tA4,Bg_IntS4,15000,776045.37,p7,110720.8498
tB1,Bg_IntFW1,30000,1095966.71,p8,257370.4694
tB2,Bg_IntFW2,20000,892919.07,p8,180908.8192
tB3,Bg_IntFW3,10000,642083.88,p8,101700.0574
tB4,Bg_IntFW4,5000,476594.38,p8,59792.10526
tC1,Bg_AM+FW2,250000,3511079.46,p1,1062751.285
tC2,Bg_AM+FW3,150000,2625333.37,p1,667467.9013
tC3,Bg_AM+FW4,50000,1433197.51,p1,254571.416
tC4,Bg_AM+FW5,30000,1095966.71,p1,166312.3001
tD1,Bg_S+FW1,100000,2092023.1,p2,560989.6261
tD2,Bg_S+FW2,70000,1718979.96,p2,407326.5743
tD3,Bg_S+FW3,35000,1187080.82,p2,222495.1516
tD4,Bg_S+FW4,15000,776045.37,p2,110720.8498
