,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-17.76165925535373,-24.204641704164803,-18.989097125769053,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-16.549139171355556,-24.58999375866345,-19.178210305311403,-16.441452130468335,-15.883387934130754,-11.332063321238534,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-17.787438998111096,-24.3262713343805,-19.08756572568684,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-16.518178001542612,-24.603011800403117,-19.114103551526103,-16.383507584487987,-15.880776129819731,-11.330311106107912,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-17.51412526427663,-23.670116344086527,-19.34034628454853,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-15.846407239686872,-23.638429578876135,-18.38257494687882,-16.736660608003064,-16.346316332898198,-11.83015116754453,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-17.285332554777504,-24.53112651856006,-19.28449614321088,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-17.12037218226155,-25.108932155148004,-19.527217620522674,-16.55618516591013,-15.598082895502131,-11.047617871790312,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-17.560059208279846,-24.479711008744516,-19.255075754343814,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-16.99232068827761,-25.15864242264859,-19.60403254932233,-16.409664284042215,-15.584549589379497,-11.034084565667678,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-18.22130382735265,-24.70133681600327,-19.22043906029388,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-16.861747348470352,-25.66823259117089,-20.085977837197863,-16.301573447628257,-15.252621062890213,-10.702156039178394,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-18.300218592146003,-24.47807717665546,-19.04244621139074,-0.0,-0.0,-0.0,-0.0,797.573568966007,-16.98626104695317,-25.405204801699096,-19.822021351290157,-16.273865144182796,-15.317718580482001,-10.77040704256654,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-18.473420461351964,-24.945586061875748,-19.534271441377772,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-16.83686545197073,-25.51856427522511,-19.949440528531554,-16.14938581517368,-15.336080075593479,-10.790267112706882,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-16.793944173018286,-24.06998351458671,-18.91011242962011,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-16.710562917200495,-24.103939492435813,-18.832057528708326,-15.40449719665548,-16.146692980021573,-11.531210745819557,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-16.604738067249336,-23.89121349745488,-18.655036574761816,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-16.28007521171228,-23.858507275376127,-18.666646197753494,-15.634090639582528,-16.36230678225523,-11.760919972926166,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
n11,-16.99288486353635,-23.946157006177696,-18.754606678492017,-0.0,-0.0,-0.0,-0.0,798.4758393010561,-16.51163741342627,-23.923206667732295,-18.683813389833958,-15.510023358080817,-16.222463376661835,-11.55788312067731,98.47583930105608,98.47583930105608,98.47583930105608,-0.0,-0.0,-0.0,
n12,-17.00173776730463,-23.787984012816686,-18.70028282007485,-0.0,-0.0,-0.0,-0.0,798.507057728507,-16.321763371929382,-23.733447772434925,-18.560875619336798,-15.610524824651586,-16.280439452417983,-11.50137829605199,98.50705772850701,98.50705772850701,98.50705772850701,-0.0,-0.0,-0.0,
n13,-16.75588681618629,-23.838466895170598,-18.690961575841854,-0.0,-0.0,-0.0,-0.0,798.109719232489,-16.111351220600138,-23.850806581356984,-18.692141326008667,-15.73183341593842,-16.354767720011157,-11.748146415738358,98.109719232489,98.109719232489,98.109719232489,-0.0,-0.0,-0.0,
n14,-17.893832706219786,-24.355839651947676,-19.117134043254016,-0.0,-0.0,-0.0,-0.0,797.6098025931095,-16.38177087469143,-24.659653060436796,-19.24141844251463,-16.23111966176374,-15.915507920523273,-11.367246237209057,97.60980259310956,97.60980259310956,97.60980259310956,-0.0,-0.0,-0.0,
n15,-17.075679932866016,-23.652527196461833,-18.44910584676842,-0.0,-0.0,-0.0,-0.0,797.891535919738,-16.038296844312075,-24.07951640532603,-18.855778403193522,-15.947161389678048,-16.40570584580813,-11.860331047133169,97.89153591973803,97.89153591973803,97.89153591973803,-0.0,-0.0,-0.0,
n16,-16.025617868574475,-22.9205192435136,-17.965552194246662,-0.0,-0.0,-0.0,-0.0,797.3531861961138,-15.685504958239656,-23.14774861933793,-18.06281684798412,-16.7141512925368,-17.247597403280942,-12.679387076443914,97.35318619611384,97.35318619611384,97.35318619611384,-0.0,-0.0,-0.0,
n17,-17.74876049053409,-23.724741778681725,-18.59446508760547,-0.0,-0.0,-0.0,-0.0,796.9217768383465,-15.894499736502786,-23.8757794629319,-18.68464238973135,-16.539794011922364,-16.90186877157046,-12.335201008800947,96.92177683834655,96.92177683834655,96.92177683834655,-0.0,-0.0,-0.0,
n18,-17.969611864512313,-23.739607357058592,-18.62168025164063,-0.0,-0.0,-0.0,-0.0,796.7424447599332,-15.704507605592868,-23.747690378184767,-18.532486533176083,-16.535061745878995,-17.017998714956565,-12.48509838728684,96.74244475993319,96.74244475993319,96.74244475993319,-0.0,-0.0,-0.0,
n19,-16.47158147504222,-23.75815462680335,-18.58293264923755,-0.0,-0.0,-0.0,-0.0,798.2244581457484,-16.312959918520203,-23.743646539996075,-18.53348960554638,-15.691127848066264,-16.43332363143236,-11.720168527866154,98.22445814574841,98.22445814574841,98.22445814574841,-0.0,-0.0,-0.0,
n20,-15.876489770404369,-22.74149319975514,-17.779986512188266,-0.0,-0.0,-0.0,-0.0,797.7800282551148,-15.563139736552545,-22.882344444625843,-17.80399691827005,-16.34840505706451,-17.043638191546613,-12.253923739291615,97.7800282551147,97.7800282551147,97.7800282551147,-0.0,-0.0,-0.0,
n21,-17.51636907728206,-23.738464233795334,-18.52160680751344,-0.0,-0.0,-0.0,-0.0,797.4439748988905,-15.88185422053685,-24.086503656115216,-18.80933104534952,-16.311008279782367,-16.498173342085554,-11.947797860164266,97.44397489889045,97.44397489889045,97.44397489889045,-0.0,-0.0,-0.0,
n22,-16.042628229745528,-23.152925782525323,-18.338720052603318,-0.0,-0.0,-0.0,-0.0,796.4828447493143,-14.65207868635958,-21.70509626914606,-16.99648700665046,-17.46341660300565,-17.722337350897796,-13.183078307703097,96.4828447493143,96.4828447493143,96.4828447493143,-0.0,-0.0,-0.0,
n23,-16.13089611496096,-23.22058634780188,-18.40359918812651,-0.0,-0.0,-0.0,-0.0,796.4503925186499,-14.584445897386539,-21.62576752066247,-16.93218742795448,-17.415520281891666,-17.727504960824326,-13.189831508127625,96.45039251864993,96.45039251864993,96.45039251864993,-0.0,-0.0,-0.0,
n24,-15.59346868033675,-22.74299655947608,-17.93241493198031,-0.0,-0.0,-0.0,-0.0,796.5969946958633,-15.08455276439467,-22.11303511063197,-17.288544218275543,-17.648289942188573,-17.88490627288468,-13.296677599343905,96.59699469586329,96.59699469586329,96.59699469586329,-0.0,-0.0,-0.0,
n25,-16.25748987955085,-23.287279555714875,-18.446402169889033,-0.0,-0.0,-0.0,-0.0,796.3739214317461,-14.447254613207729,-21.530045036339242,-16.835384704326902,-17.44275223004254,-17.768051719116457,-13.12175279963444,96.37392143174615,96.37392143174615,96.37392143174615,-0.0,-0.0,-0.0,
n26,-16.36168769701872,-23.449113613886265,-18.625993575271735,-0.0,-0.0,-0.0,-0.0,796.4098909896128,-14.37008060283862,-21.39034660691896,-16.73393171346097,-17.353654986189955,-17.667559205637488,-13.118557092981707,96.40989098961273,96.40989098961273,96.40989098961273,-0.0,-0.0,-0.0,
n27,-16.203020063289127,-22.71423578025857,-17.865700235369093,-0.0,-0.0,-0.0,-0.0,796.2730933868518,-14.662420760187823,-21.93332457785449,-17.164805579071963,-17.46608925247745,-17.923479230278016,-13.274868016293787,96.27309338685171,96.27309338685171,96.27309338685171,-0.0,-0.0,-0.0,
n28,-16.07599081957025,-23.152676988304574,-18.330211469712772,-0.0,-0.0,-0.0,-0.0,797.6339544092049,-14.50426067677665,-21.717288994036736,-16.917238130823502,-16.939587763341375,-17.2087870962899,-12.357013737717267,97.63395440920486,97.63395440920486,97.63395440920486,-0.0,-0.0,-0.0,
n29,-16.037347511129756,-23.315418920887335,-18.49645573490261,-0.0,-0.0,-0.0,-0.0,797.1306827816518,-14.600108358671559,-21.80712724882022,-16.93570855783905,-17.165013510903968,-17.58908963382392,-12.875884092149919,97.13068278165176,97.13068278165176,97.13068278165176,-0.0,-0.0,-0.0,
n30,-14.58168843795287,-24.48063221760103,-19.139659396299166,-0.0,-0.0,-0.0,-0.0,797.0672058504376,-13.960093537677196,-20.353440648920404,-15.660752781212707,-17.54853093619736,-17.34838617881565,-12.753435239210424,97.06720585043763,97.06720585043763,97.06720585043763,-0.0,-0.0,-0.0,
n31,-15.010552928610782,-24.625452169406472,-19.284479348104608,-0.0,-0.0,-0.0,-0.0,796.8483714076314,-13.532455775690025,-20.008220067932832,-15.32455708323198,-17.34717146875523,-17.353454593830403,-12.70554826678513,96.84837140763135,96.84837140763135,96.84837140763135,-0.0,-0.0,-0.0,
