,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-0.07535955552159,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-0.05532463435744753,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-0.034532956492499704,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-0.08148698676956784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-0.09854878322923909,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-0.06887483013285818,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-0.10616788821089392,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,797.573568966007,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-0.04258853273744757,-0.02639788265594952,-0.026397882654282605,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-0.027339856220547833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-0.034598795099487656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
