Market player,Profit (million $ /year),If involved?
s1,128552.52396562324,Yes
s2,128558.61666299404,Yes
s3,128878.42530307427,Yes
s4,514034.6047930239,Yes
s5,257119.4978159623,Yes
s6,385652.3544161057,Yes
s7,386092.3760546924,Yes
s8,128535.91207338125,Yes
s9,5.383909431235552e6,Yes
s10,193247.00437244857,Yes
s11,257595.6885214886,Yes
s12,129018.8279611727,Yes
s13,128727.11735368584,Yes
s14,257123.16271473668,Yes
s15,385526.2492799645,Yes
s16,514139.01329899154,Yes
s17,128502.0247668255,Yes
s18,167014.8645671707,Yes
s19,1.0299051134768783e6,Yes
s20,514954.88399440725,Yes
s21,257151.61169516726,Yes
s22,258015.6089141061,Yes
s23,64515.546393806806,Yes
s24,514861.3797289276,Yes
s25,386882.0800330592,Yes
s26,258057.36316162322,Yes
s27,128982.49590401394,Yes
s28,257894.05420079036,Yes
s29,386932.8049164959,Yes
s30,515503.57648272265,Yes
s31,193101.18784909334,Yes
s32,154866.00274566934,Yes
s33,386892.1234065527,Yes
s34,386410.36474866874,Yes
s35,642209.6811343976,Yes
s36,180118.44200632296,Yes
s37,128436.72421715492,Yes
s38,3.2928124978105216e6,Yes
s39,51460.246362953556,Yes
s40,64428.319287539794,Yes
s41,256988.3229950676,Yes
s42,128492.47304939239,Yes
s43,64559.50800502733,Yes
s44,129012.2887192952,Yes
s45,129060.4425954914,Yes
s46,38709.55202821341,Yes
s47,257931.05752019337,Yes
s48,64444.22810474458,Yes
s49,38633.62375711195,Yes
s50,258127.34036529902,Yes
s51,128932.12839774533,Yes
s52,38709.71677971542,Yes
s53,38669.796669003874,Yes
s54,128865.229704314,Yes
s55,257638.8742276341,Yes
s56,95007.23093105164,Yes
s57,1.137805435164804e6,Yes
s58,189761.73239824545,Yes
s59,758204.0845261095,Yes
s60,190110.8623194033,Yes
s61,38017.0904707845,Yes
s62,474234.07980519044,Yes
s63,132847.2592005857,Yes
s64,947423.1896159385,Yes
s65,473818.35293482465,Yes
s66,3.8755965286273346e6,Yes
s67,7.401338346106584e6,Yes
s68,1.5162066084716714e6,Yes
s69,379261.25752475386,Yes
s70,189735.5552732982,Yes
s71,568788.5904002876,Yes
s72,1.0429694518306103e6,Yes
s73,1.6116737638271376e6,Yes
s74,379733.961545639,Yes
s75,379161.497948494,Yes
s76,189800.26493103922,Yes
s77,948422.134980242,Yes
s78,284638.3704824403,Yes
s79,94931.85175762768,Yes
s80,616050.1886596411,Yes
s81,284369.23845134105,Yes
s82,47570.98382973908,Yes
s83,616184.0211520047,Yes
s84,379148.6460459116,Yes
s85,853148.6500094604,Yes
s86,948247.9556756131,Yes
s87,142241.19786451347,Yes
s88,94947.73148702238,Yes
s89,379298.0262514111,Yes
s90,379189.02038483374,Yes
s91,94854.53106441192,Yes
s92,379224.5166555089,Yes
s93,568418.322620535,Yes
s94,758113.9293072587,Yes
s95,758408.8342530202,Yes
s96,568830.3090419994,Yes
s97,568557.0656097346,Yes
s98,568951.1288542866,Yes
s99,947460.704108022,Yes
s100,2.8438424899298907e6,Yes
s101,663581.3001567405,Yes
s102,4.1476534826260954e6,Yes
s103,379707.09732008626,Yes
s104,569484.7016449223,Yes
s105,189923.77268442555,Yes
s106,949491.3338429279,Yes
s107,285386.4775480392,Yes
s108,379633.4037516596,Yes
s109,1.3273939197208013e6,Yes
s110,66398.004117371,Yes
s111,284393.6706667426,Yes
s112,568590.4936306091,Yes
s113,853297.5069913958,Yes
s114,569015.0099182688,Yes
s115,189682.891228598,Yes
s116,75872.97724675124,Yes
s117,189734.36208435142,Yes
s118,189699.80641314125,Yes
s119,94850.10589598404,Yes
s120,189602.608418697,Yes
s121,663649.8043953293,Yes
s122,379064.1367624716,Yes
s123,1.13776751068037e6,Yes
s124,189654.64911749287,Yes
s125,132781.0630012909,Yes
s126,94880.10950206054,Yes
s127,1.8484929128441927e6,Yes
s128,189816.47968720397,Yes
s129,189704.35787885933,Yes
s130,189786.7704383435,Yes
s131,189812.00471130907,Yes
s132,284578.5486339658,Yes
s133,379126.1882389304,Yes
s134,95025.11784890968,Yes
s135,94916.65276818063,Yes
s136,190772.64869300934,Yes
s137,569405.3794909014,Yes
s138,94857.38926627887,Yes
s139,94953.70111356236,Yes
s140,474154.58610596386,Yes
s141,5.636687020076742e6,Yes
s142,189773.78732901384,Yes
s143,379626.42906578537,Yes
s144,947951.6411148193,Yes
s145,331823.47001999256,Yes
s146,133260.4195287133,Yes
s147,761306.7584301272,Yes
s148,380209.6469454175,Yes
s149,95209.95044620319,Yes
s150,759435.7566870684,Yes
s151,379922.6209020178,Yes
s152,381195.0963008319,Yes
s153,667755.4291964637,Yes
s154,760680.7433743874,Yes
s155,47613.48593152623,Yes
s156,95208.89339185288,Yes
s157,285881.7420646177,Yes
s158,798255.6361342819,Yes
s159,285900.2804158856,Yes
s160,1.8009072240766408e6,Yes
s161,286216.3402553568,Yes
s162,476397.25662594324,Yes
s163,190411.38782714008,Yes
s164,760690.5495292175,Yes
s165,95295.4582349969,Yes
s166,381206.1324440605,Yes
