To,Latitude,Longitude
n4,43.153801,-89.5569992
n1,43.1702003,-89.5497971
n4,43.153801,-89.5569992
n5,43.1529999,-89.5457001
n9,43.148201,-89.4681015
n11,43.1478004,-89.4598999
n19,43.1635017,-89.4608002
n10,43.1609993,-89.4651031
n19,43.1635017,-89.4608002
n12,43.1488991,-89.4518967
n19,43.1635017,-89.4608002
n13,43.1666985,-89.4717026
n19,43.1635017,-89.4608002
n15,43.1780014,-89.4785995
n35,43.2033997,-89.5521011
n36,43.1949997,-89.5595016
n35,43.2033997,-89.5521011
n37,43.1955986,-89.5334015
n218,43.287,-89.4057
n27,43.283699,-89.4039001
n230,43.2806,-89.3811
n47,43.2813988,-89.3864975
n232,43.2841,-89.3752
n25,43.277401,-89.3796005
n232,43.2841,-89.3752
n47,43.2813988,-89.3864975
n240,43.2769,-89.3652
n26,43.2748985,-89.3725967
n243,43.2776,-89.3703
n25,43.277401,-89.3796005
n246,43.2778,-89.3803
n25,43.277401,-89.3796005
n247,43.2775,-89.3756
n25,43.277401,-89.3796005
n254,43.2788,-89.388
n46,43.2755013,-89.3908997
n260,43.275,-89.3756
n23,43.273201,-89.382103
n261,43.269,-89.2534
n51,43.2683983,-89.2522964
n264,43.2683,-89.2588
n50,43.2667999,-89.2598038
n264,43.2683,-89.2588
n51,43.2683983,-89.2522964
n270,43.2688,-89.2721
n49,43.2681999,-89.2759018
n271,43.274,-89.3706
n26,43.2748985,-89.3725967
n280,43.2667,-89.2587
n50,43.2667999,-89.2598038
n288,43.2734,-89.3841
n22,43.2714996,-89.3850021
n289,43.2724,-89.3601
n26,43.2748985,-89.3725967
n297,43.2722,-89.3769
n22,43.2714996,-89.3850021
n297,43.2722,-89.3769
n23,43.273201,-89.382103
n299,43.2715,-89.3671
n26,43.2748985,-89.3725967
n305,43.2642,-89.2602
n50,43.2667999,-89.2598038
n309,43.2743,-89.4668
n42,43.2691994,-89.4738998
n318,43.2621,-89.2522
n51,43.2683983,-89.2522964
n324,43.2712,-89.4714
n42,43.2691994,-89.4738998
n333,43.2684,-89.38
n22,43.2714996,-89.3850021
n345,43.2695,-89.4665
n41,43.2613983,-89.4776001
n355,43.2584,-89.2771
n48,43.263401,-89.2769012
n373,43.266,-89.4671
n41,43.2613983,-89.4776001
n380,43.2599,-89.3752
n45,43.2596016,-89.3796005
n383,43.2572,-89.2632
n52,43.2522011,-89.2656021
n393,43.2583,-89.3775
n45,43.2596016,-89.3796005
n410,43.2513,-89.2631
n52,43.2522011,-89.2656021
n416,43.2614,-89.4745
n41,43.2613983,-89.4776001
n420,43.2505,-89.2961
n34,43.2444992,-89.3010025
n420,43.2505,-89.2961
n53,43.2472,-89.300499
n432,43.2488,-89.3016
n53,43.2472,-89.300499
n436,43.2567,-89.3732
n45,43.2596016,-89.3796005
n440,43.2475,-89.2907
n34,43.2444992,-89.3010025
n445,43.2464,-89.3013
n34,43.2444992,-89.3010025
n448,43.246,-89.2951
n34,43.2444992,-89.3010025
n466,43.2437,-89.2923
n34,43.2444992,-89.3010025
n476,43.2421,-89.2963
n34,43.2444992,-89.3010025
n485,43.2401,-89.2906
n54,43.2389984,-89.2916031
n486,43.2417,-89.2849
n54,43.2389984,-89.2916031
n493,43.24,-89.3012
n31,43.2387009,-89.3114014
n495,43.2399,-89.3066
n31,43.2387009,-89.3114014
n496,43.2397,-89.3045
n31,43.2387009,-89.3114014
n497,43.2399,-89.3098
n31,43.2387009,-89.3114014
n521,43.2363,-89.3107
n31,43.2387009,-89.3114014
n539,43.2387,-89.3785
n29,43.2350006,-89.3892975
n541,43.2372,-89.3727
n29,43.2350006,-89.3892975
n549,43.2388,-89.3862
n29,43.2350006,-89.3892975
n602,43.2384,-89.5183
n18,43.2354012,-89.5203018
n612,43.2263,-89.3162
n30,43.2285004,-89.3223038
n614,43.2278,-89.3097
n30,43.2285004,-89.3223038
n617,43.2312,-89.3757
n29,43.2350006,-89.3892975
n618,43.2348,-89.5137
n18,43.2354012,-89.5203018
n625,43.2261,-89.3135
n30,43.2285004,-89.3223038
n629,43.2343,-89.508
n18,43.2354012,-89.5203018
n631,43.2342,-89.5237
n18,43.2354012,-89.5203018
n639,43.2316,-89.508
n18,43.2354012,-89.5203018
n661,43.2213,-89.313
n30,43.2285004,-89.3223038
n661,43.2213,-89.313
n38,43.2266006,-89.3581009
n692,43.2176,-89.314
n38,43.2266006,-89.3581009
n718,43.2289,-89.512
n17,43.2248001,-89.5178986
n739,43.2113,-89.2792
n55,43.2113991,-89.2805023
n787,43.2076,-89.2728
n33,43.2100983,-89.2738037
n826,43.2035,-89.2718
n33,43.2100983,-89.2738037
n826,43.2035,-89.2718
n55,43.2113991,-89.2805023
n837,43.2049,-89.3649
n28,43.2056999,-89.3778992
n846,43.2044,-89.3682
n28,43.2056999,-89.3778992
n859,43.2027,-89.3642
n28,43.2056999,-89.3778992
n861,43.2037,-89.3736
n28,43.2056999,-89.3778992
n894,43.1982,-89.3572
n43,43.2001991,-89.3651962
n895,43.2111,-89.5978
n40,43.2108994,-89.5988007
n909,43.2045,-89.4975
n21,43.1968002,-89.5034027
n914,43.1976,-89.3518
n32,43.1954994,-89.3641968
n914,43.1976,-89.3518
n43,43.2001991,-89.3651962
n919,43.1952,-89.3558
n32,43.1954994,-89.3641968
n932,43.2014,-89.5049
n21,43.1968002,-89.5034027
n940,43.1985,-89.5037
n21,43.1968002,-89.5034027
n966,43.1983,-89.496
n21,43.1968002,-89.5034027
n971,43.2014,-89.5962
n3,43.1987991,-89.5868988
n977,43.199,-89.5883
n3,43.1987991,-89.5868988
n978,43.1998,-89.5919
n3,43.1987991,-89.5868988
n994,43.1861,-89.3386
n44,43.1855011,-89.3672028
n1001,43.1906,-89.4792
n39,43.1903,-89.4852982
n1006,43.1865,-89.3702
n44,43.1855011,-89.3672028
n1017,43.1836,-89.3694
n44,43.1855011,-89.3672028
n1118,43.1711,-89.5425
n2,43.1697998,-89.5447998
n1122,43.1714,-89.5351
n14,43.1696014,-89.5307007
n1131,43.1714,-89.5272
n14,43.1696014,-89.5307007
n1132,43.1683,-89.5458
n2,43.1697998,-89.5447998
n1315,43.1282,-89.5672
n6,43.1259995,-89.5635986
n1316,43.1292,-89.5745
n7,43.1259995,-89.574501
n1325,43.1246,-89.5657
n6,43.1259995,-89.5635986
n1326,43.1248,-89.5277
n8,43.1226006,-89.5328979
n1331,43.1228,-89.5655
n6,43.1259995,-89.5635986
n1333,43.1216,-89.534
n8,43.1226006,-89.5328979
n1337,43.1204,-89.5306
n8,43.1226006,-89.5328979
n1341,43.1193,-89.5663
n6,43.1259995,-89.5635986
n1342,43.1202,-89.5735
n6,43.1259995,-89.5635986
n1342,43.1202,-89.5735
n7,43.1259995,-89.574501
n1349,43.1164,-89.5781
n7,43.1259995,-89.574501
