#node,latitude,longitude,P amount,P-limit,P limit modified,P excess,DE compare,indicator,log10(indicator)
n1,43.1702003,-89.5497971,0.0,0,1.0,0.0,0.0,1.0,0.0
n2,43.1697998,-89.5447998,0.0,0,1.0,0.0,0.0,1.0,0.0
n3,43.1987991,-89.5868988,0.0,0,1.0,0.0,0.0,1.0,0.0
n4,43.153801,-89.5569992,0.0,0,1.0,0.0,0.0,1.0,0.0
n5,43.1529999,-89.5457001,0.0,0,1.0,0.0,0.0,1.0,0.0
n6,43.1259995,-89.5635986,0.0,0,1.0,0.0,0.0,1.0,0.0
n7,43.1259995,-89.574501,0.0,0,1.0,0.0,0.0,1.0,0.0
n8,43.1226006,-89.5328979,0.0,0,1.0,0.0,0.0,1.0,0.0
n9,43.148201,-89.4681015,0.0,0,1.0,0.0,0.0,1.0,0.0
n10,43.1609993,-89.4651031,0.0,0,1.0,0.0,0.0,1.0,0.0
n11,43.1478004,-89.4598999,0.0,0,1.0,0.0,0.0,1.0,0.0
n12,43.1488991,-89.4518967,0.0,0,1.0,0.0,0.0,1.0,0.0
n13,43.1666985,-89.4717026,0.0,0,1.0,0.0,0.0,1.0,0.0
n14,43.1696014,-89.5307007,0.0,0,1.0,0.0,0.0,1.0,0.0
n15,43.1780014,-89.4785995,0.0,0,1.0,0.0,0.0,1.0,0.0
n16,43.2196999,-89.441803,0.0,0,1.0,0.0,0.0,1.0,0.0
n17,43.2248001,-89.5178986,0.0,0,1.0,0.0,0.0,1.0,0.0
n18,43.2354012,-89.5203018,0.0,0,1.0,0.0,0.0,1.0,0.0
n19,43.1635017,-89.4608002,0.0,0,1.0,0.0,0.0,1.0,0.0
n20,43.1959991,-89.4356003,0.0,0,1.0,0.0,0.0,1.0,0.0
n21,43.1968002,-89.5034027,0.0,0,1.0,0.0,0.0,1.0,0.0
n22,43.2714996,-89.3850021,0.0,0,1.0,0.0,0.0,1.0,0.0
n23,43.273201,-89.382103,0.0,0,1.0,0.0,0.0,1.0,0.0
n24,43.2653999,-89.4016037,0.0,0,1.0,0.0,0.0,1.0,0.0
n25,43.277401,-89.3796005,0.0,0,1.0,0.0,0.0,1.0,0.0
n26,43.2748985,-89.3725967,0.0,0,1.0,0.0,0.0,1.0,0.0
