,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-2.593841382743687,-3.64559052946249,-2.85754097189318,-0.0,-0.0,-0.0,-0.0,797.4242058563158,-1.7714823234175472,-2.9161734950585325,-2.138061149508601,-4.341432163135776,-7.694004880532357,-5.73000240588406,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-2.589127635549557,-3.6794116121074167,-2.9791706021088755,-0.0,-0.0,-0.0,-0.0,797.4767111364057,-1.733973593977904,-2.794543864842837,-2.132507248515756,-4.314068989950356,-7.629481622290706,-5.665185280388181,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-2.3417007590629577,-3.4052551618589844,-2.6434266989664548,-0.0,-0.0,-0.0,-0.0,796.7296543177149,-1.8394802732606028,-2.2665689703933283,-2.0790721049633434,-4.21891393450016,-7.444289897454797,-5.752909382637297,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-2.627784498820171,-3.6594510689493607,-2.8706043540053368,-0.0,-0.0,-0.0,-0.0,797.5325822697752,-2.1499422931180865,-2.9178806147814327,-2.078334521671826,-4.636033709914868,-7.724079793190282,-5.5755385540938995,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-2.581529135219274,-3.6309914831381014,-2.8180086335572088,-0.0,-0.0,-0.0,-0.0,797.6586233742238,-1.8752156396157447,-2.818976252720271,-2.1581093917069554,-4.4985212772683,-7.65338738118868,-5.570207406485871,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-2.5951869217179127,-3.625592662543841,-2.792137662543841,-0.0,-0.0,-0.0,-0.0,797.7028444423858,-1.5959489636816047,-2.911667662543841,-2.233962662543841,-4.314424463418593,-7.590152632284564,-5.584243585091933,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-2.481709500142013,-3.4350213525690303,-2.651154136449442,-0.0,-0.0,-0.0,-0.0,797.573568966007,-1.785296752345228,-2.7292650691996396,-2.1338800521125516,-4.382675466806739,-7.565981194219706,-5.563413523382749,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-2.6066935327323195,-3.784762626573949,-2.9864648842136776,-0.0,-0.0,-0.0,-0.0,798.0864600854142,-1.6993345286948218,-2.9321804713516397,-2.3389988859247492,-4.265575472407923,-7.387569226069233,-5.294761949681942,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-2.558232002361195,-3.442840755839944,-2.7749039784634437,-0.0,-0.0,-0.0,-0.0,798.4145609975778,-2.11027485621542,-2.816666367899812,-2.0962310564450664,-4.119654313846151,-6.698673379907866,-4.961631533411169,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-2.3127293043958783,-3.37588794436725,-2.609656896638107,-0.0,-0.0,-0.0,-0.0,798.2389124875506,-1.8483589695908962,-2.6224255462711037,-2.0745917707079964,-4.069057912650923,-6.617709699184752,-5.138856756269966,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.0,
