,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-0.0024263732735217113,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.3715256126013,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n2,-0.003479331424772063,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.4599355217666,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n3,-0.00730380997581039,-0.003819821632696032,-0.0038196549416960324,-0.0,-0.0,-0.0,-0.0,996.7151160493606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n4,-0.013413086336143952,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.2441231241993,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n5,-0.003778745753232884,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.4440229722842,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n6,-0.008804772227081098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.1273850719832,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n7,-0.0007896448103645882,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,996.9345021339179,0.0012104510236354117,0.0012102484666354119,0.001210384007635412,7.784137667221972e-5,7.721560367221969e-5,7.763433967221964e-5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n8,-0.01004112060637054,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.6705363758435,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n9,-0.01985528857630098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.8168482978131,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n10,-0.013375339767334616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.8698636101421,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n11,-0.00996660701091913,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.961939535134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n12,-0.010680198322243404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.1035137968739,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n13,-0.025972915291239122,-0.0036707431991138684,-0.0036705765081138687,-0.0,-0.0,-0.0,-0.0,998.753104464298,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n14,-0.007563311486620565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.7093685181442,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n15,-0.003379655277018672,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,998.6310716255183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n16,-0.0067686133371687145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,999.281713555172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
n17,-0.009932323014842509,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,997.935762772741,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
