#ag_node,latitude,longitude
ag_node1,43.27039191,-89.38957685
ag_node2,43.28458499,-89.3896656
ag_node3,43.27030768,-89.42929312
ag_node4,43.25949961,-89.29426678
ag_node5,43.28094006,-89.43283004
ag_node6,43.27253036,-89.2871048
ag_node7,43.25889965,-89.28125
ag_node8,43.25356246,-89.29241896
ag_node9,43.27024536,-89.36802064
ag_node10,43.26423327,-89.36533357
ag_node11,43.26098022,-89.44138032
ag_node12,43.26832503,-89.45726052
ag_node13,43.26666527,-89.43657951
ag_node14,43.25689983,-89.29017448
ag_node15,43.26088028,-89.30527992
ag_node16,43.25651036,-89.3901291
ag_node17,43.2509003,-89.3914032
ag_node18,43.25260486,-89.43900527
ag_node19,43.25054953,-89.2900196
ag_node20,43.24267997,-89.48131065
ag_node21,43.23933545,-89.37187081
ag_node22,43.24009514,-89.27604447
ag_node23,43.22707003,-89.39067421
ag_node24,43.24314518,-89.47545395
ag_node25,43.23194885,-89.46994785
ag_node26,43.22977485,-89.29672013
ag_node27,43.22387047,-89.27383957
ag_node28,43.22554998,-89.42237146
ag_node29,43.21963247,-89.32539877
ag_node30,43.21696033,-89.25286064
ag_node31,43.21306832,-89.29691516
ag_node32,43.23449478,-89.50949974
ag_node33,43.22279033,-89.52138023
ag_node34,43.22978039,-89.4192955
ag_node35,43.21149968,-89.49091053
ag_node36,43.22101376,-89.3231016
ag_node37,43.21277059,-89.45802218
ag_node38,43.21416474,-89.32485542
ag_node39,43.2190164,-89.48914975
ag_node40,43.22266007,-89.4443798
ag_node41,43.21058044,-89.22613982
ag_node42,43.22158528,-89.53922042
ag_node43,43.2142982,-89.2401962
ag_node44,43.21395017,-89.43298607
ag_node45,43.19154978,-89.26588774
ag_node46,43.2075243,-89.5740528
ag_node47,43.20570117,-89.55810037
ag_node48,43.2121252,-89.56138955
ag_node49,43.20688954,-89.49434014
ag_node50,43.2007904,-89.35579491
ag_node51,43.19542503,-89.5747509
ag_node52,43.19346618,-89.39949927
ag_node53,43.17791652,-89.37748401
ag_node54,43.19793159,-89.56876294
ag_node55,43.18547994,-89.35694505
ag_node56,43.18812027,-89.42035561
ag_node57,43.19627037,-89.5144455
ag_node58,43.17999001,-89.51180954
ag_node59,43.16788685,-89.43277334
ag_node60,43.1872012,-89.3180669
ag_node61,43.18670998,-89.56500969
ag_node62,43.18104935,-89.2914009
ag_node63,43.17789021,-89.49387856
ag_node64,43.17144965,-89.4385986
ag_node65,43.15337232,-89.47324579
ag_node66,43.15985848,-89.42368136
ag_node67,43.1492505,-89.52598763
ag_node68,43.16780033,-89.51242067
ag_node69,43.15498009,-89.54592591
ag_node70,43.1574001,-89.46110155
ag_node71,43.14053347,-89.56556703
ag_node72,43.15921974,-89.51440048
ag_node73,43.148555,-89.47436562
ag_node74,43.14746513,-89.54644014
ag_node75,43.14109995,-89.48365025
ag_node76,43.13685035,-89.4841499
ag_node77,43.13363992,-89.48102074
ag_node78,43.12793529,-89.55215319
ag_node79,43.12927164,-89.48897171
ag_node80,43.12817993,-89.54835434
ag_node81,43.12130795,-89.50983136
ag_node82,43.11595027,-89.56348292
ag_node83,43.0828009,-89.54357718
ag_node84,43.1080017,-89.5687027
ag_node85,43.06556092,-89.53538056
ag_node86,43.0651334,-89.54046757
ag_node87,43.0657997,-89.5438995
ag_node88,43.0588989,-89.5289993
company,43.07305,-89.40123
