#ag_node,latitude,longitude
beef04,43.153801,-89.5569992
beef11,43.1478004,-89.4598999
beef14,43.1696014,-89.5307007
beef16,43.2196999,-89.441803
beef19,43.1635017,-89.4608002
beef20,43.1959991,-89.4356003
beef28,43.2056999,-89.3778992
beef30,43.2285004,-89.3223038
beef33,43.2100983,-89.2738037
beef39,43.1903,-89.4852982
beef41,43.2613983,-89.4776001
beef54,43.2389984,-89.2916031
beef38,43.2266006,-89.3581009
dairy010,43.1389008,-89.5539017
dairy014,43.1242981,-89.5355988
dairy016,43.1263008,-89.5169983
dairy019,43.1399994,-89.5052032
dairy020,43.1408997,-89.5356979
dairy021,43.1486015,-89.5262985
dairy024,43.1489983,-89.4925003
dairy025,43.1484985,-89.4857025
dairy026,43.1576004,-89.4906998
dairy029,43.1635017,-89.490303
dairy030,43.1629982,-89.520401
dairy012,43.1263008,-89.5513992
dairy013,43.1394997,-89.5828018
dairy017,43.1293983,-89.4878998
dairy031,43.1762009,-89.5140991
dairy033,43.1707001,-89.5366974
dairy034,43.1744995,-89.5409012
dairy035,43.1773987,-89.5261993
dairy038,43.1908989,-89.5143967
dairy039,43.1913986,-89.5082016
dairy040,43.1767998,-89.4833984
dairy041,43.1801987,-89.4834976
dairy042,43.2262993,-89.5859985
dairy043,43.2167015,-89.5633011
dairy044,43.2186012,-89.5201035
dairy045,43.2188988,-89.4841003
dairy046,43.2192993,-89.4787979
dairy048,43.2144012,-89.4497986
dairy047,43.2139015,-89.4787979
dairy049,43.2071991,-89.4354019
dairy050,43.2075005,-89.4244995
dairy053,43.2275009,-89.4402008
dairy054,43.2242012,-89.4461975
dairy056,43.2265015,-89.4605026
dairy057,43.2305984,-89.4702988
dairy058,43.2271996,-89.4910965
dairy064,43.2299995,-89.5406036
dairy066,43.2249985,-89.547699
dairy067,43.2361984,-89.5394974
dairy068,43.2421989,-89.5285034
dairy078,43.2668991,-89.4732971
dairy072,43.2405014,-89.4778976
dairy082,43.2061996,-89.4910965
dairy091,43.2602005,-89.4029999
dairy094,43.2681999,-89.2957993
dairy095,43.2755013,-89.2863998
dairy098,43.1949005,-89.3887024
dairy099,43.2190018,-89.4064026
dairy104,43.2537994,-89.3167038
dairy109,43.2246017,-89.2434998
dairy111,43.2318993,-89.2662964
dairy112,43.2172012,-89.2781982
dairy116,43.2389984,-89.2774963
dairy124,43.178299,-89.4965973
dairy125,43.2064018,-89.5212021
dairy086,43.2672997,-89.419899
dairy089,43.2882004,-89.450798
dairy126,43.2025986,-89.5406036
dairy127,43.2169991,-89.5840988
dairy128,43.232399,-89.5010986
dairy129,43.214901,-89.3760986
dairy134,43.1525993,-89.471199
dairy135,43.1599007,-89.5000992
dairy146,43.2346001,-89.3013
