#daily flow (m3),P (mg),N (mg)
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
2.06E+06,4.41E+07,3.23E+09
