node,product,amount(tonne/week),time
beef04,p1,4121.7848741729995,1
beef04,p1,4840.593248345999,2
beef04,p1,4879.958940959547,3
beef04,p1,3420.637796389444,4
beef04,p1,1961.316651819341,5
beef04,p1,2159.608617129341,6
beef04,p1,2357.9005824393407,7
beef04,p1,2556.1925477493405,8
beef04,p1,1096.8714031792367,9
beef04,p1,161.6311852925991,10
beef04,p1,359.9231506025991,11
beef04,p1,558.2151159125991,12
beef04,p1,756.5070812225991,13
beef04,p1,954.7990465325992,14
beef04,p1,347.2425000000001,15
beef11,p1,175.35401736000006,1
beef11,p1,274.50000000000006,2
beef11,p1,175.35401736000006,3
beef11,p1,274.50000000000006,4
beef11,p1,274.50000000000006,5
beef11,p1,99.14598264,7
beef11,p1,198.29196528,8
beef11,p1,274.50000000000006,9
beef11,p1,76.20803472000006,11
beef11,p1,175.35401736000006,12
beef11,p1,274.50000000000006,13
beef11,p1,13.725000000000005,15
beef14,p1,1004.9078555400001,1
beef14,p1,1322.1750000000002,2
beef14,p1,231.56919095999973,3
beef14,p1,330.71517359999973,4
beef14,p1,429.86115623999973,5
beef14,p1,529.0071388799997,6
beef14,p1,628.1531215199998,7
beef14,p1,727.2991041599998,8
beef14,p1,826.4450867999999,9
beef14,p1,925.59106944,10
beef14,p1,1024.73705208,11
beef14,p1,1123.88303472,12
beef14,p1,1223.0290173600001,13
beef14,p1,1322.1750000000002,14
beef14,p1,66.10875000000001,15
beef16,p1,3518.2534348199997,1
beef16,p1,4146.903171702,2
beef16,p1,3629.2515154549305,3
beef16,p1,3827.5434807649303,4
beef16,p1,3311.120785789577,5
beef16,p1,2794.6980908142245,6
beef16,p1,2278.275395838872,7
beef16,p1,1761.8527008635199,8
beef16,p1,1245.4300058881672,9
beef16,p1,657.3389128430881,10
beef16,p1,95.38563091667152,11
beef16,p1,200.91994750796553,12
beef16,p1,399.2119128179655,13
beef16,p1,104.07053469000007,14
beef16,p1,302.36250000000007,15
beef19,p1,2069.7342159361283,1
beef19,p1,3123.000000000001,2
beef19,p1,3028.3646248563578,3
beef19,p1,2788.3539584414643,4
beef19,p1,2854.7112981712703,5
beef19,p1,2924.3870558556664,6
beef19,p1,2684.376389440774,7
beef19,p1,2444.3657230258814,8
beef19,p1,1929.947024154662,9
beef19,p1,2063.5823403797685,10
beef19,p1,1846.5096218848762,11
beef19,p1,1309.1529750936575,12
beef19,p1,771.7963283024385,13
beef19,p1,608.0856641512194,14
beef19,p1,156.15000000000003,15
beef20,p1,1077.7255563900003,1
beef20,p1,1399.9500000000003,2
beef20,p1,198.29196531,5
beef20,p1,396.58393062,6
beef20,p1,594.87589593,7
beef20,p1,793.16786124,8
beef20,p1,991.45982655,9
beef20,p1,198.29196531,11
beef20,p1,396.58393062,12
beef20,p1,594.87589593,13
beef20,p1,793.16786124,14
beef20,p1,69.99750000000002,15
beef28,p1,6319.202945120745,1
beef28,p1,6750.487969613745,2
beef28,p1,6044.6754893731,3
beef28,p1,5338.863009132457,4
beef28,p1,4654.087697664945,5
beef28,p1,3984.109416466493,6
beef28,p1,3372.5553281406214,7
