node,product,amount(tonne/week),time
beef04,p1,5143.636865493,1
beef04,p1,5912.018230986,2
beef04,p1,5016.494431517056,3
beef04,p1,3973.5371521516445,4
beef04,p1,4171.829117461644,5
beef04,p1,3128.8718380962328,6
beef04,p1,2085.9145587308217,7
beef04,p1,1042.9572793654108,8
beef04,p1,198.29196531,10
beef04,p1,396.58393062,11
beef04,p1,594.87589593,12
beef04,p1,793.16786124,13
beef04,p1,148.95053469000013,14
beef04,p1,347.2425000000001,15
beef11,p1,272.08098264,1
beef11,p1,274.50000000000006,2
beef11,p1,177.7884096383093,3
beef11,p1,76.20803472000006,4
beef11,p1,175.35401736000006,5
beef11,p1,274.50000000000006,6
beef11,p1,274.50000000000006,7
beef11,p1,175.35401736000006,8
beef11,p1,274.50000000000006,9
beef11,p1,99.14598264,11
beef11,p1,198.29196528,12
beef11,p1,13.725000000000005,15
beef14,p1,1054.4808468600002,1
beef14,p1,1322.1750000000002,2
beef14,p1,826.4450867999999,3
beef14,p1,925.59106944,4
beef14,p1,1024.73705208,5
beef14,p1,1123.88303472,6
beef14,p1,1223.0290173600001,7
beef14,p1,1322.1750000000002,8
beef14,p1,99.14598264,10
beef14,p1,198.29196528,11
beef14,p1,297.43794792,12
beef14,p1,396.58393056,13
beef14,p1,495.7299132,14
beef14,p1,66.10875000000001,15
beef16,p1,4567.865793161999,1
beef16,p1,5162.741689061999,2
beef16,p1,5361.033654371999,3
beef16,p1,4719.861457682735,4
beef16,p1,4078.6892609934716,5
beef16,p1,3847.0331801355787,6
beef16,p1,3205.8609834463155,7
beef16,p1,2564.688786757052,8
beef16,p1,1923.5165900677891,9
beef16,p1,1282.344393378526,10
beef16,p1,641.172196689263,11
beef16,p1,198.29196531,13
beef16,p1,104.07053469000007,14
beef16,p1,302.36250000000007,15
beef19,p1,2652.056582520001,1
beef19,p1,3123.000000000001,2
beef19,p1,3123.000000000001,3
beef19,p1,2329.832139000001,4
beef19,p1,2726.416069500001,5
beef19,p1,3123.000000000001,6
beef19,p1,2423.867496419466,7
beef19,p1,1739.0655678800053,8
beef19,p1,682.7097926200026,9
beef19,p1,396.5839305,11
beef19,p1,793.167861,12
beef19,p1,276.57772257252043,13
beef19,p1,156.15000000000003,15
beef20,p1,1152.0850433700002,1
beef20,p1,1399.9500000000003,2
beef20,p1,198.29196531,4
beef20,p1,396.58393062,5
beef20,p1,594.87589593,6
beef20,p1,793.16786124,7
beef20,p1,991.45982655,8
beef20,p1,1189.75179186,9
beef20,p1,1388.04375717,10
beef20,p1,198.29196531,12
beef20,p1,396.58393062,13
beef20,p1,594.87589593,14
beef20,p1,69.99750000000002,15
beef28,p1,8448.11521102855,1
beef28,p1,10304.8171391171,2
beef28,p1,9333.077822382706,3
beef28,p1,8823.85696827008,4
beef28,p1,8513.0737283737,5
beef28,p1,7669.349885935749,6
beef28,p1,7281.936972822669,7
beef28,p1,6494.682141020816,8
beef28,p1,5961.285374217201,9
beef28,p1,4982.771590720333,10
beef28,p1,4017.806740748411,11
beef28,p1,3419.4968576196857,12
beef28,p1,2440.9830741228184,13
beef28,p1,1462.469290625951,14
beef28,p1,549.5250000000001,15
beef30,p1,934.7906433480028,1
beef30,p1,1152.9000000000003,2
beef30,p1,140.5807210999849,3
beef30,p1,338.8726864099849,4
beef30,p1,537.1646517199849,5
beef30,p1,98.48225653267232,6
beef30,p1,296.7742218426723,7
beef30,p1,198.29196531,9
beef30,p1,396.58393062,10
beef30,p1,594.87589593,11
beef30,p1,173.1296676531731,12
beef30,p1,31.148699250821238,13
beef30,p1,229.44066456082123,14
beef30,p1,57.645000000000024,15
beef33,p1,3911.2047066,1
beef33,p1,4159.0696632,2
beef33,p1,3993.9672318405906,3
beef33,p1,4241.8321884405905,4
beef33,p1,4489.697145040591,5
beef33,p1,4737.562101640591,6
beef33,p1,4985.427058240592,7
beef33,p1,5233.292014840592,8
beef33,p1,5481.156971440592,9
beef33,p1,4664.307749879699,10
beef33,p1,4126.317332065546,11
beef33,p1,3227.431735770543,12
beef33,p1,2255.2664433946566,13
beef33,p1,1406.2888106936352,14
beef33,p1,290.74125000000004,15
beef39,p1,426.20182950900016,1
beef39,p1,594.7500000000001,2
beef39,p1,19.829196531,4
beef39,p1,39.658393062,5
beef39,p1,59.487589593,6
beef39,p1,79.316786124,7
beef39,p1,99.14598265500001,8
beef39,p1,19.829196531,12
beef39,p1,36.42891416995133,13
beef39,p1,9.908303469000007,14
beef39,p1,29.737500000000008,15
beef41,p1,15743.38836267,1
beef41,p1,15956.552225340001,2
beef41,p1,14929.813330675652,3
beef41,p1,13903.074436011302,4
beef41,p1,12876.335541346953,5
beef41,p1,11849.596646682603,6
beef41,p1,10822.857752018253,7
beef41,p1,9796.1188573539,8
beef41,p1,8769.37996268955,9
beef41,p1,7512.481845270136,10
beef41,p1,6255.58372785072,11
beef41,p1,5003.251852258248,12
beef41,p1,3746.3537348388318,13
beef41,p1,2489.455617419416,14
beef41,p1,1232.5575000000003,15
beef54,p1,3220.254820670999,1
beef54,p1,3939.0750000000007,2
beef54,p1,3641.637052080002,3
beef54,p1,3691.2100434000017,4
beef54,p1,3740.7830347200015,5
beef54,p1,3790.3560260400013,6
