node,product,amount(tonne/week),time
beef04,p1,3601.26846531,1
beef04,p1,3526.6145599306155,2
beef04,p1,3724.9065252406153,3
beef04,p1,3923.198490550615,4
beef04,p1,4121.490455860615,5
beef04,p1,4319.782421170615,6
beef04,p1,1588.499120766915,7
beef04,p1,1786.791086076915,8
beef04,p1,198.29196531,12
beef04,p1,198.29196531,14
beef11,p1,204.48148363840534,1
beef11,p1,274.50000000000006,2
beef11,p1,274.50000000000006,3
beef11,p1,175.35401736000006,4
beef11,p1,274.50000000000006,5
beef11,p1,99.14598264,7
beef11,p1,99.14598264,9
beef11,p1,198.29196528,10
beef11,p1,274.50000000000006,11
beef14,p1,846.15771528,1
beef14,p1,1044.4496805600002,2
beef14,p1,824.2966850577989,3
beef14,p1,99.14598264,5
beef14,p1,198.29196528,6
beef14,p1,297.43794792,7
beef14,p1,396.58393056,8
beef14,p1,194.67835937759037,9
beef14,p1,293.82434201759037,10
beef14,p1,392.97032465759037,11
beef14,p1,492.11630729759037,12
beef14,p1,591.2622899375904,13
beef14,p1,245.6010614511278,14
beef16,p1,3161.44446531,1
beef16,p1,3359.7364306199997,2
beef16,p1,3558.0283959299995,3
beef16,p1,3756.3203612399993,4
beef16,p1,3954.612326549999,5
beef16,p1,3061.948476294553,6
beef16,p1,3260.240441604553,7
beef16,p1,2367.576591349107,8
beef16,p1,2565.8685566591066,9
beef16,p1,2764.1605219691064,10
beef16,p1,2247.737826993753,11
beef16,p1,1305.441089529304,12
beef16,p1,947.2667032673633,13
beef16,p1,97.85367206271437,14
beef19,p1,2470.7431384353285,1
beef19,p1,3123.000000000001,2
beef19,p1,2762.871563262151,3
beef19,p1,2501.8891091643013,4
beef19,p1,2042.6146897864517,5
beef19,p1,1956.9862530486023,6
beef19,p1,1497.7118336707529,7
beef19,p1,914.7331502606628,8
beef19,p1,534.2012212044078,9
beef19,p1,294.1905547895152,10
beef19,p1,77.11783629462246,11
beef19,p1,263.7133772209669,12
beef19,p1,175.80891814731126,13
beef19,p1,87.90445907365563,14
beef20,p1,918.0413062919998,1
beef20,p1,1116.3332716019997,2
beef20,p1,1314.6252369119998,3
beef20,p1,198.29196531,5
beef20,p1,396.58393062,6
beef20,p1,594.87589593,7
beef20,p1,793.16786124,8
beef20,p1,79.5586020496042,10
beef20,p1,198.29196531,12
beef20,p1,396.58393062,13
beef20,p1,594.87589593,14
beef28,p1,5618.338059213001,1
beef28,p1,5851.331118426001,2
beef28,p1,5950.477101066001,3
beef28,p1,5147.98486839834,4
beef28,p1,4345.4926357306795,5
beef28,p1,3565.003290058046,6
beef28,p1,3168.499419445058,7
beef28,p1,2366.007186777398,8
beef28,p1,1689.5952166629202,9
beef28,p1,1106.3968639960844,10
beef28,p1,620.9080694351105,11
beef28,p1,486.00445236374975,12
beef28,p1,123.12994513984376,13
beef28,p1,147.72566928261801,14
beef30,p1,763.2129653100001,1
beef30,p1,961.5049306200001,2
beef30,p1,925.5730568955414,3
beef30,p1,700.8000524544332,4
beef30,p1,899.0920177644332,5
beef30,p1,674.319013323325,6
beef30,p1,449.54600888221665,7
beef30,p1,224.77300444110833,8
beef30,p1,198.29196531,10
beef30,p1,396.58393062,11
beef30,p1,594.87589593,12
beef30,p1,198.29196531,14
beef33,p1,3097.1292065999996,1
beef33,p1,3344.9941631999995,2
beef33,p1,3493.7131371599994,3
beef33,p1,3057.3910919974364,4
beef33,p1,3206.1100659574363,5
beef33,p1,3354.829039917436,6
beef33,p1,3503.548013877436,7
beef33,p1,3652.266987837436,8
beef33,p1,2912.173212205503,9
beef33,p1,2260.0818398912197,10
beef33,p1,2408.8008138512196,11
beef33,p1,1756.709441536936,12
beef33,p1,1905.4284154969362,13
beef33,p1,1570.816966629588,14
beef39,p1,426.20182950900016,1
beef39,p1,594.7500000000001,2
beef39,p1,594.7500000000001,3
beef39,p1,565.8939879353627,4
beef39,p1,585.7231844663627,5
beef39,p1,19.829196531,7
beef39,p1,39.658393062,8
beef39,p1,59.487589593,9
beef39,p1,79.316786124,10
beef39,p1,99.14598265500001,11
beef39,p1,118.97517918600002,12
beef39,p1,138.80437571700003,13
beef39,p1,158.63357224800004,14
beef41,p1,11855.28791030203,1
beef41,p1,11794.314339224327,2
beef41,p1,9883.71473223595,3
beef41,p1,8080.931031618613,4
beef41,p1,7211.13480246935,5
beef41,p1,5300.535195480973,6
beef41,p1,3605.5674012346744,7
beef41,p1,1802.7837006173372,8
beef41,p1,64.73808443307496,13
beef41,p1,163.88406707307496,14
beef54,p1,2202.79820226,1
beef54,p1,2475.44965452,2
beef54,p1,2525.0226458399998,3
beef54,p1,1885.4212171324698,4
beef54,p1,1934.9942084524698,5
beef54,p1,203.3045872565242,6
beef54,p1,49.57299132,8
beef54,p1,99.14598264,9
beef54,p1,148.71897396,10
beef54,p1,198.29196528,11
beef54,p1,247.8649566,12
beef54,p1,297.43794792,13
beef54,p1,347.01093923999997,14
dairy003,p2,1697.1275450271633,1
dairy003,p2,1618.4752072217025,2
dairy003,p2,1088.4691865123316,3
dairy003,p2,1161.8024189123316,4
dairy003,p2,303.4931491505821,5
dairy003,p2,73.33323240000001,7
dairy003,p2,24.5408846280599,8
dairy003,p2,73.33323240000001,13
dairy003,p3,2268.24999387,1
dairy003,p3,2291.8467377399998,2
dairy003,p3,2315.4434816099997,3
dairy003,p3,2339.0402254799997,4
dairy003,p3,2362.6369693499996,5
dairy003,p3,1529.6153110925568,6
dairy003,p3,1553.2120549625567,7
dairy003,p3,23.596743869999997,9
dairy003,p3,47.193487739999995,10
dairy003,p3,70.79023160999999,11
dairy003,p3,94.38697547999999,12
dairy003,p3,117.98371934999999,13
dairy004,p2,1174.8201887698579,1
dairy004,p2,497.8757651824243,2
dairy004,p2,791.2086947224243,3
dairy004,p2,334.82801737265675,4
dairy004,p2,139.9217289832552,5
dairy004,p2,433.2546585232552,6
dairy004,p2,726.5875880632552,7
dairy004,p2,1019.9205176032552,8
dairy004,p2,1313.2534471432552,9
dairy004,p2,750.850321365257,10
dairy004,p3,3322.5069754799997,1
dairy004,p3,3416.8939509599995,2
dairy004,p3,3511.2809264399993,3
dairy004,p3,2028.8591030874427,4
dairy004,p3,1512.6214599743125,5
dairy004,p3,1607.0084354543126,6
dairy004,p3,1388.0348478725566,7
dairy004,p3,1482.4218233525567,8
dairy004,p3,94.38697547999999,10
dairy004,p3,188.77395095999998,11
dairy004,p3,94.38697547999999,13
dairy010,p2,957.21318837,1
dairy010,p2,1213.87950174,2
dairy010,p2,1397.21258271,3
dairy010,p2,1429.6875000000002,4
dairy010,p2,1429.6875000000002,5
dairy010,p2,1387.8762966711947,6
dairy010,p2,551.4682449122434,7
dairy010,p2,118.90622373976177,8
dairy010,p2,183.33308097,12
dairy010,p3,783.1354785599999,1
dairy010,p3,865.7240821199999,2
dairy010,p3,924.7159418099999,3
dairy010,p3,983.7078014999998,4
dairy010,p3,58.99185969,6
dairy010,p3,117.98371938,7
dairy010,p3,176.97557906999998,8
dairy010,p3,4.502861793637706,10
dairy010,p3,58.99185969,12
dairy010,p3,21.93772806596634,14
dairy014,p2,146.40000000000003,2
dairy014,p2,146.40000000000003,5
dairy014,p2,146.40000000000003,6
dairy014,p2,26.855176454692696,12
dairy014,p3,118.92948774,1
dairy014,p3,146.40000000000003,2
dairy014,p3,47.193487739999995,5
dairy014,p3,94.38697547999999,6
dairy014,p3,141.58046321999998,7
dairy014,p3,47.193487739999995,9
dairy014,p3,94.38697547999999,10
dairy014,p3,47.193487739999995,12
dairy014,p3,47.193487739999995,14
dairy016,p2,2332.03639434,1
dairy016,p2,3714.900000000001,2
dairy016,p2,3608.336725156618,3
dairy016,p2,3160.518895174298,4
dairy016,p2,2541.623271792472,5
dairy016,p2,1166.14548472936,6
dairy016,p2,530.5465658887797,7
dairy016,p2,519.6043645812754,8
dairy016,p2,116.32750886865,14
dairy016,p3,2397.24138768,1
dairy016,p3,2993.90475084,2
dairy016,p3,3064.6949824499998,3
dairy016,p3,2347.3974504708685,4
dairy016,p3,1383.6595035025753,5
dairy016,p3,1454.4497351125754,6
dairy016,p3,1525.2399667225754,7
dairy016,p3,949.522897963444,8
dairy016,p3,339.888209180128,9
dairy016,p3,93.69585833155803,10
dairy016,p3,70.79023160999999,12
dairy016,p3,141.58046321999998,13
dairy016,p3,212.37069483,14
dairy019,p2,469.47846476999996,1
dairy019,p2,616.14492954,2
dairy019,p2,658.8000000000001,3
dairy019,p2,405.90034369150766,4
dairy019,p2,153.0006873830152,5
dairy019,p2,146.66646477,8
dairy019,p2,88.58447566954413,10
dairy019,p2,83.19131006841604,12
dairy019,p3,370.0054877399999,1
dairy019,p3,417.19897547999994,2
dairy019,p3,464.39246321999997,3
dairy019,p3,511.58595096,4
dairy019,p3,558.7794387,5
dairy019,p3,605.97292644,6
dairy019,p3,523.084631986485,7
dairy019,p3,26.47810703689302,8
dairy019,p3,47.193487739999995,12
dairy020,p2,482.92896477,1
dairy020,p2,629.5954295399999,2
dairy020,p2,539.58353523,3
dairy020,p2,686.2500000000001,4
dairy020,p2,2.3689857057636914,6
dairy020,p2,149.0354504757637,7
dairy020,p2,295.7019152457637,8
dairy020,p2,442.3683800157637,9
dairy020,p2,589.0348447857637,10
dairy020,p2,177.8717354603029,11
dairy020,p2,324.5382002303029,12
dairy020,p2,471.2046650003029,13
dairy020,p3,383.45598773999996,1
dairy020,p3,430.64947548,2
dairy020,p3,477.84296322,3
dairy020,p3,525.03645096,4
dairy020,p3,572.2299387,5
dairy020,p3,619.4234264400001,6
dairy020,p3,47.193487739999995,11
dairy021,p2,5245.609084799999,1
dairy021,p2,5659.756246362129,2
