node,product,amount(tonne/week),time
beef04,p1,4573.54746531,1
beef04,p1,4771.83943062,2
beef04,p1,4875.818876935177,3
beef04,p1,5074.110842245177,4
beef04,p1,3558.927820438583,5
beef04,p1,3757.2197857485826,6
beef04,p1,2434.2404384004485,7
beef04,p1,919.0574165938542,8
beef04,p1,1117.3493819038542,9
beef04,p1,1315.6413472138543,10
beef04,p1,1513.9333125238543,11
beef04,p1,1712.2252778338543,12
beef04,p1,1910.5172431438543,13
beef04,p1,819.3401168769599,14
beef11,p1,272.08098264,1
beef11,p1,274.50000000000006,2
beef11,p1,274.50000000000006,3
beef11,p1,76.20803472000006,6
beef11,p1,175.35401736000006,7
beef11,p1,274.50000000000006,8
beef11,p1,76.20803472000006,9
beef11,p1,175.35401736000006,10
beef11,p1,274.50000000000006,11
beef11,p1,99.14598264,13
beef14,p1,981.6892239599999,1
beef14,p1,1130.40819792,2
beef14,p1,1229.55418056,3
beef14,p1,99.14598264,6
beef14,p1,198.29196528,7
beef14,p1,297.43794792,8
beef14,p1,396.58393056,9
beef14,p1,144.35694474059892,10
beef14,p1,243.50292738059892,11
beef14,p1,342.6489100205989,12
beef14,p1,441.7948926605989,13
beef14,p1,540.9408753005989,14
beef16,p1,4008.0594653099997,1
beef16,p1,4206.3514306199995,2
beef16,p1,4026.088520082395,3
beef16,p1,3133.424669826949,4
beef16,p1,3331.7166351369488,5
beef16,p1,3530.0086004469485,6
beef16,p1,2637.3447501915025,7
beef16,p1,1785.327700510892,8
beef16,p1,892.663850255446,9
beef16,p1,198.29196531,11
beef16,p1,396.58393062,12
beef16,p1,594.87589593,13
beef16,p1,630.3993944955057,14
beef19,p1,2602.4835912000012,1
beef19,p1,3123.000000000001,2
beef19,p1,2841.614053583745,3
beef19,p1,2755.9856168458946,4
beef19,p1,2395.857180108044,5
beef19,p1,1959.5207086501932,6
beef19,p1,1500.246289272343,7
beef19,p1,1040.9718698944926,8
beef19,p1,957.8778887582367,9
beef19,p1,717.8672223433433,10
beef19,p1,77.11783629462502,11
beef19,p1,263.71337722096894,12
beef19,p1,76.66293550731257,13
beef19,p1,87.90445907365631,14
beef20,p1,1138.9603082888104,1
beef20,p1,1337.2522735988105,2
beef20,p1,830.0330102427758,3
beef20,p1,1028.3249755527759,4
beef20,p1,1226.616940862776,5
beef20,p1,1399.9500000000003,6
beef20,p1,198.29196531,8
beef20,p1,198.29196531,10
beef20,p1,198.29196531,12
beef28,p1,7157.008059213001,1
beef28,p1,7390.001118426001,2
beef28,p1,6807.027874711814,3
beef28,p1,6491.466118490534,4
beef28,p1,5908.492874776348,5
beef28,p1,5325.519631062161,6
beef28,p1,4632.786892871237,7
beef28,p1,4593.815083196829,8
beef28,p1,3958.9986289707513,9
beef28,p1,3557.707370441536,10
beef28,p1,2866.4284271452016,11
beef28,p1,2042.2447679129546,12
beef28,p1,1648.3673184644977,13
beef28,p1,810.634725707303,14
beef30,p1,924.6189653100001,1
beef30,p1,1122.91093062,2
beef30,p1,898.1379261788917,3
beef30,p1,673.3649217377833,4
beef30,p1,448.591917296675,5
beef30,p1,646.883882606675,6
beef30,p1,422.11087816556665,7
beef30,p1,224.77300444110833,8
beef30,p1,198.29196531,10
beef30,p1,396.58393062,11
beef30,p1,594.87589593,12
beef30,p1,793.16786124,13
beef30,p1,991.45982655,14
beef33,p1,3911.2047066,1
beef33,p1,4159.0696632,2
beef33,p1,3439.4931323861665,3
beef33,p1,3396.174161133409,4
beef33,p1,2328.1362242904916,5
beef33,p1,2385.585010331625,6
beef33,p1,2105.404840394526,7
beef33,p1,2254.123814354526,8
beef33,p1,1941.1019186299889,9
beef33,p1,1504.7798734674263,10
beef33,p1,1653.4988474274264,11
beef33,p1,1217.1768022648641,12
beef33,p1,565.0854299505806,13
beef33,p1,604.6701049769755,14
beef39,p1,455.37132851059476,1
beef39,p1,594.7500000000001,2
beef39,p1,19.829196531,4
beef39,p1,39.658393062,5
beef39,p1,59.487589593,6
beef39,p1,79.316786124,7
beef39,p1,99.14598265500001,8
beef39,p1,118.97517918600002,9
beef39,p1,138.80437571700003,10
beef39,p1,158.63357224800004,11
beef39,p1,178.46276877900004,12
beef39,p1,198.29196531000005,13
beef39,p1,218.12116184100006,14
beef41,p1,15035.571869306017,1
beef41,p1,14688.627030340358,2
beef41,p1,12635.041789408002,3
beef41,p1,10448.967002183987,4
beef41,p1,8457.531852455906,5
beef41,p1,6619.578424265629,6
beef41,p1,4417.815389614794,7
beef41,p1,2231.7406023907793,8
beef41,p1,99.14598264,10
beef41,p1,198.29196528,11
beef41,p1,297.43794792,12
beef41,p1,396.58393056,13
beef41,p1,495.7299132,14
beef54,p1,2754.2687022599994,1
beef54,p1,3026.9201545199994,2
beef54,p1,3076.493145839999,3
beef54,p1,3126.066137159999,4
beef54,p1,3175.639128479999,5
beef54,p1,3225.2121197999986,6
beef54,p1,3130.2816702441446,7
beef54,p1,3179.8546615641444,8
beef54,p1,3145.4058427997234,9
beef54,p1,2474.7254090275783,10
beef54,p1,1804.0449752554332,11
beef54,p1,1182.4800992648907,12
beef54,p1,967.7159842244818,13
beef54,p1,430.67584768979594,14
dairy003,p2,2959.3159824,1
dairy003,p2,3032.6492147999998,2
dairy003,p2,2022.379318344477,3
dairy003,p2,2095.712550744477,4
dairy003,p2,1357.9819343891677,5
dairy003,p2,1108.8297566422439,6
dairy003,p2,371.09914028693424,7
dairy003,p2,73.33323240000001,10
dairy003,p2,146.66646480000003,11
dairy003,p2,219.99969720000004,12
dairy003,p2,82.37978520000004,13
dairy003,p2,155.71301760000006,14
dairy003,p2,229.04625000000007,15
dairy003,p3,2909.57949387,1
dairy003,p3,2933.17623774,2
dairy003,p3,2956.77298161,3
dairy003,p3,2980.36972548,4
dairy003,p3,1427.1576705174432,5
dairy003,p3,1450.7544143874431,6
dairy003,p3,1474.351158257443,7
dairy003,p3,1497.947902127443,8
dairy003,p3,1521.544645997443,9
dairy003,p3,169.17503283593237,10
dairy003,p3,192.77177670593238,11
dairy003,p3,216.3685205759324,12
dairy003,p3,181.85276226000008,13
dairy003,p3,205.4495061300001,14
dairy003,p3,229.04625000000007,15
dairy004,p2,3395.426837250946,1
dairy004,p2,3688.759766790946,2
dairy004,p2,2450.3547226100213,3
dairy004,p2,2743.687652150021,4
dairy004,p2,2552.2088067760997,5
dairy004,p2,2476.810088361849,6
dairy004,p2,1238.4050441809245,7
dairy004,p2,293.33292954,10
dairy004,p2,586.66585908,11
dairy004,p2,17.717849886335785,12
dairy004,p2,311.0507794263358,13
dairy004,p2,604.3837089663358,14
dairy004,p2,329.4000000000001,15
dairy004,p3,4244.826975479999,1
dairy004,p3,2784.5767249358073,2
dairy004,p3,2878.963700415807,3
dairy004,p3,1213.5050115543165,4
dairy004,p3,1307.8919870343166,5
dairy004,p3,1402.2789625143166,6
dairy004,p3,1496.6659379943167,7
dairy004,p3,1591.0529134743167,8
dairy004,p3,94.38697547999999,10
dairy004,p3,188.77395095999998,11
dairy004,p3,283.16092643999997,12
dairy004,p3,140.6260490400001,13
dairy004,p3,235.0130245200001,14
dairy004,p3,329.4000000000001,15
dairy010,p2,1157.3694383700001,1
dairy010,p2,1414.0357517400003,2
dairy010,p2,1429.6875000000002,3
dairy010,p2,1305.7102016251183,4
dairy010,p2,1429.6875000000002,5
dairy010,p2,502.6931709125627,6
dairy010,p2,658.1954079664263,7
dairy010,p2,841.5284889364262,8
dairy010,p2,30.1673351926905,10
dairy010,p2,213.5004161626905,11
dairy010,p3,983.2917285599999,1
dairy010,p3,1065.8803321199998,2
dairy010,p3,58.99185969,4
dairy010,p3,117.98371938,5
dairy010,p3,176.97557906999998,6
dairy010,p3,235.96743876,7
dairy010,p3,294.95929845,8
dairy010,p3,58.99185969,10
dairy010,p3,117.98371938,11
dairy014,p2,22.317146222492955,1
dairy014,p2,146.40000000000003,2
dairy014,p2,146.40000000000003,3
dairy014,p2,146.40000000000003,5
dairy014,p2,146.40000000000003,8
dairy014,p2,146.40000000000003,11
dairy014,p3,139.42548774,1
dairy014,p3,146.40000000000003,2
dairy014,p3,99.20651226000004,3
dairy014,p3,146.40000000000003,4
dairy014,p3,4.81953678000005,5
dairy014,p3,52.013024520000045,6
dairy014,p3,99.20651226000004,7
dairy014,p3,146.40000000000003,8
dairy014,p3,4.81953678000005,11
dairy014,p3,52.013024520000045,12
dairy014,p3,99.20651226000004,13
dairy014,p3,146.40000000000003,14
dairy016,p2,3421.5670704300014,1
dairy016,p2,3714.900000000001,2
dairy016,p2,3042.3382842823803,3
dairy016,p2,2689.172140771714,4
dairy016,p2,2909.1718379417143,5
dairy016,p2,2556.005694431048,6
dairy016,p2,2056.439550920382,7
dairy016,p2,1410.4734074097155,8
dairy016,p2,770.9469594835278,9
dairy016,p2,650.6622251940979,10
dairy016,p2,870.6619223640979,11
dairy016,p2,517.4957788534316,12
dairy016,p2,737.4954760234316,13
dairy016,p2,237.92933251276526,14
dairy016,p3,2434.77397548,1
dairy016,p3,2569.37992644,2
dairy016,p3,2640.17015805,3
dairy016,p3,2710.9603896599997,4
dairy016,p3,1861.1654147387194,5
dairy016,p3,1931.9556463487195,6
dairy016,p3,2002.7458779587196,7
dairy016,p3,2073.5361095687194,8
dairy016,p3,2144.3263411787193,9
dairy016,p3,1776.425647056877,10
dairy016,p3,780.2306721355967,11
dairy016,p3,851.0209037455967,12
dairy016,p3,70.79023160999999,14
dairy019,p2,561.71046477,1
dairy019,p2,658.8000000000001,2
dairy019,p2,647.8161213771214,3
dairy019,p2,563.540687669617,4
dairy019,p2,357.5399105692338,5
dairy019,p2,319.8281897888063,6
