node,product,amount(tonne/week),time
beef04,p1,3601.26846531,1
beef04,p1,3799.56043062,2
beef04,p1,1068.2771302162996,3
beef04,p1,1266.5690955262996,4
beef04,p1,1464.8610608362997,5
beef04,p1,1663.1530261462997,6
beef04,p1,1861.4449914562997,7
beef04,p1,1786.791086076915,8
beef04,p1,198.29196531,12
beef04,p1,107.22570768944846,13
beef04,p1,305.51767299944845,14
beef11,p1,204.48148363840534,1
beef11,p1,274.50000000000006,2
beef11,p1,175.35401736000006,3
beef11,p1,274.50000000000006,4
beef11,p1,99.14598264,7
beef11,p1,198.29196528,8
beef11,p1,76.20803472000006,9
beef11,p1,175.35401736000006,10
beef11,p1,274.50000000000006,11
beef11,p1,87.90445907365557,14
beef14,p1,846.15771528,1
beef14,p1,1044.4496805600002,2
beef14,p1,826.4450867999999,3
beef14,p1,925.59106944,4
beef14,p1,1024.73705208,5
beef14,p1,1123.88303472,6
beef14,p1,1223.0290173600001,7
beef14,p1,1322.1750000000002,8
beef14,p1,99.14598264,10
beef14,p1,99.14598264,12
beef14,p1,99.14598264,14
beef16,p1,3161.44446531,1
beef16,p1,3359.7364306199997,2
beef16,p1,3303.3166492204755,3
beef16,p1,2586.994785955817,4
beef16,p1,2785.2867512658167,5
beef16,p1,2109.3073436752766,6
beef16,p1,2307.5993089852764,7
beef16,p1,2505.891274295276,8
beef16,p1,1613.2274240398303,9
beef16,p1,892.6638502554458,10
beef16,p1,198.29196531,12
beef16,p1,396.58393062,13
beef16,p1,594.87589593,14
beef19,p1,2400.4485699782576,1
beef19,p1,3123.000000000001,2
beef19,p1,2862.017545902151,3
beef19,p1,2402.7431265243013,4
beef19,p1,2317.114689786452,5
beef19,p1,1956.986253048602,6
beef19,p1,1497.7118336707524,7
beef19,p1,1038.437414292903,8
beef19,p1,557.1391691244078,9
beef19,p1,317.1285027095151,10
beef19,p1,77.1178362946224,11
beef19,p1,263.71337722096683,12
beef19,p1,175.8089181473112,13
beef20,p1,918.0413062919998,1
beef20,p1,1116.3332716019997,2
beef20,p1,1314.6252369119998,3
beef20,p1,805.0741040700002,4
beef20,p1,1003.3660693800002,5
