node,product,amount(tonne/week),time
beef04,p1,4121.7848741729995,1
beef04,p1,4840.593248345999,2
beef04,p1,3381.2721037758947,3
beef04,p1,3579.5640690858945,4
beef04,p1,3777.8560343958943,5
beef04,p1,2318.5348898257907,6
beef04,p1,2516.8268551357905,7
beef04,p1,2207.424212473993,8
beef04,p1,748.1030679038893,9
beef04,p1,198.29196531,11
beef04,p1,396.58393062,12
beef04,p1,594.87589593,13
beef04,p1,793.16786124,14
beef04,p1,347.2425000000001,15
beef11,p1,175.35401736000006,1
beef11,p1,274.50000000000006,2
beef11,p1,274.50000000000006,3
beef11,p1,99.14598264,5
beef11,p1,198.29196528,6
beef11,p1,99.14598264,8
beef11,p1,198.29196528,9
beef11,p1,99.14598264,11
beef11,p1,198.29196528,12
beef11,p1,99.14598264,14
beef11,p1,13.725000000000005,15
beef14,p1,1004.9078555400001,1
beef14,p1,1322.1750000000002,2
beef14,p1,628.1531215199998,3
beef14,p1,727.2991041599998,4
beef14,p1,826.4450867999999,5
beef14,p1,925.59106944,6
beef14,p1,1024.73705208,7
beef14,p1,1123.88303472,8
beef14,p1,1223.0290173600001,9
beef14,p1,1322.1750000000002,10
beef14,p1,99.14598264,12
beef14,p1,198.29196528,13
beef14,p1,297.43794792,14
beef14,p1,66.10875000000001,15
beef16,p1,3518.2534348199997,1
beef16,p1,4146.903171702,2
beef16,p1,3759.6844299274953,3
beef16,p1,3243.261734952143,4
beef16,p1,2726.8390399767904,5
beef16,p1,2210.416345001438,6
beef16,p1,1693.9936500260856,7
beef16,p1,1177.5709550507331,8
beef16,p1,661.1482600753807,9
beef16,p1,859.4402253853807,10
beef16,p1,199.6807342705764,11
beef16,p1,200.91994750796553,12
beef16,p1,399.2119128179655,13
beef16,p1,104.07053469000007,14
beef16,p1,302.36250000000007,15
beef19,p1,2139.2598287161286,1
beef19,p1,3123.000000000001,2
beef19,p1,2836.0026375460193,3
beef19,p1,2969.6379537711255,4
beef19,p1,2729.627287356233,5
beef19,p1,2726.095090575666,6
beef19,p1,2783.5223720807726,7
beef19,p1,2246.1657252895534,8
beef19,p1,2006.15505887466,9
beef19,p1,2063.5823403797676,10
beef19,p1,1823.5716739648751,11
beef19,p1,1286.2150271736575,12
beef19,p1,1046.2963283024383,13
beef19,p1,508.9396815112192,14
beef19,p1,156.15000000000003,15
beef20,p1,1008.1999436100001,1
beef20,p1,1399.9500000000003,2
beef20,p1,198.29196531,4
beef20,p1,396.58393062,5
beef20,p1,594.87589593,6
beef20,p1,793.16786124,7
beef20,p1,991.45982655,8
beef20,p1,408.49017345000016,9
beef20,p1,606.7821387600002,10
beef20,p1,805.0741040700002,11
beef20,p1,1003.3660693800002,12
beef20,p1,1201.6580346900002,13
beef20,p1,1399.9500000000003,14
beef20,p1,69.99750000000002,15
beef28,p1,6319.202945120745,1
beef28,p1,6750.487969613745,2
beef28,p1,6849.633952253745,3
beef28,p1,6493.096614763039,4
beef28,p1,5823.1183335645865,5
beef28,p1,5117.305853323943,6
beef28,p1,4411.493373083299,7
beef28,p1,3726.718061615787,8
beef28,p1,3020.9055813751434,9
