#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.6652922555907094e8,6.645849359054721e9
2.5431221463719704e6,3.2732948267488927e8,8.161890794795769e9
1.9092393115614345e6,1.9989567532708192e8,4.984356004350702e9
1.5560973061185484e6,1.470572605700123e8,3.666841408680547e9
1.9210607107483805e6,2.2774675275536516e8,5.678816676299479e9
2.6067928106942493e6,3.4162985622061896e8,8.518467557301941e9
2.879117185993429e6,3.7918337910716385e8,9.454856636144169e9
2.9689175106173707e6,3.2264046602833253e8,8.044971165401467e9
2.9985296167452415e6,3.2600516638563406e8,8.128869250746816e9
2.9679765409505223e6,3.213964256311074e8,8.01395128358853e9
2.954601455267023e6,3.198766703194156e8,7.976056509223951e9
2.950190953875321e6,3.193755234052294e8,7.963560517868967e9
1.975736618926649e6,1.6657882210408533e8,4.1536073794172654e9
1.518594625514945e6,1.1349855834039775e8,2.830062330380323e9
1.3095575634758798e6,4.265898134792602e7,1.0319069629064918e9
2.0144328727793773e6,2.388672877245792e8,5.778122440459196e9
2.6705833095403537e6,3.290007633358123e8,7.958422066360035e9
2.9001524219983225e6,3.587227276677996e8,8.677386771477802e9
2.896033307695893e6,3.5559809464903873e8,8.601802909259218e9
1.9277554209616836e6,1.8100121385237277e8,4.378360827358833e9
2.523198965042558e6,3.0991913609356374e8,7.496843674361703e9
2.8515516973446854e6,3.472730067436962e8,8.400421725159536e9
2.9598276528829862e6,3.6108618645566636e8,8.734558075214544e9
2.99553219069979e6,3.656411515441239e8,8.844741207630198e9
3.007305940599975e6,3.671431740610023e8,8.881074646559923e9
1.8717629334224164e6,1.2269436614702322e8,2.9679370377808437e9
1.3175688923618088e6,4.0503330881628774e7,9.797624752633779e8
1.8667702451244206e6,2.114269888379519e8,5.114350484574867e9
2.2745849462575396e6,2.723977346339419e8,7.641586523984551e9
1.6003215532278824e6,1.2864023595630005e8,3.6087506191887674e9
1.398129175938486e6,1.2041090662873694e8,3.377892854620921e9
2.3214344708447866e6,2.892193568696404e8,8.113484287600739e9
2.7817187902302956e6,3.515552860710979e8,9.862197055664112e9
2.9367999025341e6,3.721108704615005e8,1.0438843836083977e10
2.3547104200092535e6,2.697533460308591e8,7.567403365520876e9
2.653470013040371e6,2.5584264564660135e8,7.177165830181676e9
2.887909114601272e6,2.8184077450323504e8,7.906492567742993e9
2.8919960158540667e6,2.8021334686394364e8,7.860838263261051e9
2.3073681996902567e6,2.0207574449662006e8,5.6688404110432205e9
2.4142652784654056e6,2.252676122871884e8,6.319442974286254e9
2.789229820251906e6,2.71758504350052e8,7.623654166618732e9
2.939276702245693e6,2.870891085044367e8,8.053724329530026e9
2.988755411953737e6,3.4383813626295185e8,9.032052455003967e9
3.00507126391842e6,3.4580013377460593e8,9.083590846394894e9
2.325981160023159e6,2.3886696779233342e8,6.27463551983126e9
2.717216960782779e6,3.1118536602030545e8,8.17431882243439e9
1.8395730865402184e6,1.5390058470853296e8,4.0427108204199104e9
2.4043995536447624e6,2.711619122395505e8,7.1229696675467205e9
2.725956207847854e6,3.0982942140596735e8,8.138700426476659e9
1.739129618267274e6,1.3206851517500383e8,3.469218887933026e9
2.3678799490727508e6,2.8048473828225917e8,7.36786470671197e9
2.496920397232525e6,2.879091783343288e8,7.562892322694747e9
2.4823801102378704e6,2.848194543502038e8,7.481730444028795e9
2.768073154639982e6,3.308551243686137e8,8.691010458534079e9
2.929000129810549e6,3.523698338316207e8,9.256165873044119e9
2.651261012022955e6,3.0607567786221766e8,8.040095865161065e9
2.8640802924391893e6,3.368967844694571e8,9.49832971207842e9
1.9649497439185628e6,1.805115526630956e8,5.089268651623864e9
2.3155414065347128e6,2.619221940634345e8,7.384526872357356e9
2.7632752420679647e6,3.2447810220349586e8,9.148202479675777e9
2.930718050293091e6,3.4510622574899733e8,9.72978333116777e9
2.9859331536713387e6,3.5190845264746624e8,9.921562525379354e9
3.004140610135946e6,3.541515209845445e8,9.984802673740654e9
2.9698267940811673e6,3.0335973244619113e8,8.552799827636956e9
2.995529401367588e6,3.071871193289183e8,8.660707603026016e9
3.0073050208037323e6,3.0844921929390574e8,8.696290731597374e9
3.0111880902015856e6,3.088654030690056e8,8.708024446191715e9
3.0124685517543983e6,3.090026417501413e8,8.711893697258419e9
3.0128907903549084e6,3.0904789689156383e8,8.713169602147434e9
3.0130300256450037e6,3.090628200007648e8,8.713590338165272e9
3.013075939178215e6,3.7442429883878815e8,9.214738143683737e9
3.0130910793954004e6,3.7442626469815195e8,9.214786524302519e9
2.0289997996762274e6,1.998691725036128e8,4.918863688407477e9
3.125157943754258e6,1.849681390535755e8,4.552143040900876e9
1.5186240998880486e6,1.3100134161174233e8,3.2239976496376166e9
2.3948859781847605e6,2.941563272168172e8,7.239309887251154e9
1.6218514034138613e6,1.0932034078450893e8,2.6904191774723644e9
1.680628124596034e6,1.8842562795245752e8,4.637233284607546e9
2.3891929732134333e6,3.109729278090458e8,7.653173440991889e9
2.2751568349585785e6,2.783202961326528e8,6.849578558038889e9
2.6017420693740416e6,3.4061614419639444e8,8.382705358640163e9
2.8675515103435507e6,3.818744665878806e8,9.398089878993958e9
1.8645226718096149e6,1.2614263602419731e8,3.1044228788619704e9
1.2598642360406304e6,4.1813786004568174e7,1.0290547115213249e9
2.0046463618400309e6,2.467261016291172e8,6.542449652381241e9
2.300019503696309e6,2.783638106984544e8,7.381388529687266e9
2.7449565923950677e6,3.5163600571319264e8,9.324351368390068e9
2.924677383953579e6,3.7579787844677925e8,9.965053081029938e9
2.7525220606217906e6,1.764013392735294e8,4.6776440481540365e9
2.4948647796676913e6,3.180133708559255e8,8.43277810442816e9
2.086019596698993e6,2.3075734597261882e8,6.119005277408435e9
2.628188266809781e6,2.8263876985074854e8,7.494747857440575e9
2.7676567917107884e6,2.9501830318896526e8,7.823016626129701e9
