node,product,amount(tonne/week),time
ag_node1,p5,582.5271036153008,1
ag_node1,p5,582.5271036153008,2
ag_node1,p5,721.4739652795108,3
ag_node1,p5,721.4739652795108,4
ag_node1,p5,721.4739652795108,5
ag_node1,p5,721.4739652795108,6
ag_node1,p5,721.4739652795108,7
ag_node1,p5,721.4739652795108,8
ag_node1,p5,721.4739652795108,9
ag_node1,p6,178.00000000000014,1
ag_node1,p6,178.00000000000014,2
ag_node2,p1,163.59087135599998,3
ag_node2,p1,163.59087135599998,4
ag_node2,p1,163.59087135599998,5
ag_node2,p1,163.59087135599998,6
ag_node2,p1,163.59087135599998,7
ag_node2,p1,163.59087135599998,8
ag_node2,p1,163.59087135599998,9
ag_node2,p1,163.59087135599998,10
ag_node2,p1,163.59087135599998,11
ag_node2,p1,163.59087135599998,12
ag_node2,p1,163.59087135599998,13
ag_node2,p1,163.59087135599998,14
ag_node2,p1,163.59087135599998,15
ag_node2,p2,1380.7718929175599,3
ag_node2,p2,1380.7718929175599,4
ag_node2,p2,1380.7718929175599,5
ag_node2,p2,1380.7718929175599,6
ag_node2,p2,1380.7718929175599,8
ag_node2,p2,1380.7718929175599,9
ag_node2,p2,497.7253763483227,11
ag_node2,p2,1380.7718929175599,12
ag_node2,p2,1380.7718929175599,13
ag_node2,p2,1380.7718929175599,14
ag_node2,p2,1380.7718929175599,15
ag_node2,p3,1879.1977930043224,7
ag_node2,p3,1879.1977930043224,10
ag_node2,p3,1201.8053623257974,11
ag_node3,p5,580.9804533644829,4
ag_node3,p5,580.9804533644829,5
ag_node3,p5,580.9804533644829,6
ag_node3,p5,580.9804533644829,7
ag_node3,p5,580.9804533644829,8
ag_node3,p5,580.9804533644829,9
ag_node3,p5,580.9804533644829,10
ag_node3,p5,580.9804533644829,11
ag_node4,p2,247.79156863965997,4
ag_node4,p2,349.111616855148,5
ag_node4,p2,313.3441806199189,6
ag_node4,p2,349.1116168551498,8
ag_node4,p5,263.7241300853491,4
ag_node4,p5,139.11888036647474,5
ag_node4,p5,183.1063280867504,6
ag_node4,p5,568.4627364360762,7
ag_node4,p5,139.11888036647247,8
ag_node4,p5,568.4627364360762,9
ag_node4,p5,568.4627364360762,10
ag_node4,p5,568.4627364360762,11
ag_node5,p1,49.57299132,3
ag_node5,p1,49.57299132,4
ag_node5,p1,49.57299132,5
ag_node5,p1,49.57299132,6
ag_node5,p1,49.57299132,7
ag_node5,p1,49.57299132,8
ag_node5,p1,49.57299132,9
ag_node5,p1,49.57299132,10
ag_node5,p1,49.57299132,11
ag_node5,p1,49.57299132,12
ag_node5,p1,49.57299132,13
ag_node5,p1,49.57299132,14
ag_node5,p1,49.57299132,15
ag_node5,p2,1904.516571885415,3
ag_node5,p2,551.3554512334795,4
ag_node5,p2,505.6167802499722,5
ag_node5,p2,1881.095884477953,6
ag_node5,p2,1927.9372592928773,7
ag_node5,p2,1881.095884477953,8
ag_node5,p2,1927.9372592928773,9
ag_node5,p2,1855.0887333133683,10
ag_node5,p2,679.45735419,11
ag_node5,p2,1855.0887333133683,12
ag_node5,p2,1836.4764296496287,13
ag_node5,p2,1855.0887333133683,14
ag_node5,p2,1879.6804550912036,15
ag_node5,p3,129.78209128499998,3
ag_node5,p3,1971.4022781902656,4
ag_node5,p3,2033.6515244329153,5
ag_node5,p3,161.65709128499998,6
ag_node5,p3,97.90709128499998,7
ag_node5,p3,161.65709128499998,8
ag_node5,p3,97.90709128499998,9
ag_node5,p3,197.05220710499998,10
ag_node5,p3,1797.0586269685634,11
ag_node5,p3,197.05220710499998,12
ag_node5,p3,222.38311088934702,13
ag_node5,p3,197.05220710499998,14
ag_node5,p3,163.58345710499998,15
ag_node5,p6,356.0000000000003,3
ag_node5,p6,356.0000000000003,4
ag_node5,p6,356.0000000000003,5
ag_node5,p6,356.0000000000003,6
ag_node5,p6,356.0000000000003,7
ag_node5,p6,356.0000000000003,8
ag_node5,p6,356.0000000000003,9
ag_node5,p6,356.0000000000003,10
ag_node5,p6,356.0000000000003,11
ag_node5,p6,356.0000000000003,12
ag_node5,p6,356.0000000000003,13
ag_node5,p6,356.0000000000003,14
ag_node5,p6,356.0000000000003,15
ag_node6,p1,14.871897396,3
ag_node6,p1,14.871897396,4
ag_node6,p1,14.871897396,5
ag_node6,p1,14.871897396,6
ag_node6,p1,14.871897396,7
ag_node6,p1,14.871897396,8
ag_node6,p1,14.871897396,9
ag_node6,p1,14.871897396,10
ag_node6,p1,14.871897396,11
ag_node6,p1,14.871897396,12
ag_node6,p1,14.871897396,13
ag_node6,p1,14.871897396,14
ag_node6,p1,14.871897396,15
ag_node6,p2,1684.9829156652331,3
ag_node6,p2,293.33292954,4
ag_node6,p2,293.33292954,5
ag_node6,p2,1473.1631543915664,6
ag_node6,p2,1684.9829156652331,7
ag_node6,p2,1684.9829156652331,8
ag_node6,p2,293.33292954,9
ag_node6,p2,1684.9829156652331,10
ag_node6,p2,1684.9829156652331,11
ag_node6,p2,293.33292954,12
ag_node6,p2,293.33292954,13
ag_node6,p2,1684.9829156652331,14
ag_node6,p2,1371.4829296229286,15
ag_node6,p3,117.98371934999999,3
ag_node6,p3,2011.9863391709812,4
ag_node6,p3,2011.9863391709812,5
ag_node6,p3,406.2653898720571,6
ag_node6,p3,117.98371934999999,7
ag_node6,p3,117.98371934999999,8
ag_node6,p3,2011.9863391709812,9
ag_node6,p3,117.98371934999999,10
ag_node6,p3,117.98371934999999,11
ag_node6,p3,2011.9863391709814,12
ag_node6,p3,2011.9863391709814,13
ag_node6,p3,117.98371934999999,14
ag_node6,p3,544.649763828035,15
ag_node7,p2,60.042185928837,1
ag_node7,p2,60.042185928837,2
ag_node7,p2,60.042185928837,3
ag_node7,p2,60.042185928837,4
ag_node7,p2,60.042185928837,5
ag_node7,p2,60.042185928837,6
ag_node7,p2,60.042185928837,7
ag_node7,p2,60.042185928837,8
ag_node8,p2,146.66646477,1
ag_node8,p2,146.66646477,2
ag_node8,p5,739.7851698789609,1
ag_node8,p5,739.7851698789609,2
ag_node8,p5,920.1582726353082,3
ag_node8,p5,920.1582726353082,4
ag_node8,p5,920.1582726353082,5
ag_node8,p5,920.1582726353082,6
ag_node8,p5,920.1582726353082,7
ag_node8,p5,920.1582726353082,8
ag_node8,p5,920.1582726353082,9
ag_node9,p1,421.370426223,3
ag_node9,p1,421.370426223,4
ag_node9,p1,421.370426223,5
ag_node9,p1,421.370426223,6
ag_node9,p1,421.370426223,7
ag_node9,p1,421.370426223,8
ag_node9,p1,421.370426223,9
ag_node9,p1,421.370426223,10
ag_node9,p1,421.370426223,11
ag_node9,p1,421.370426223,12
ag_node9,p1,421.370426223,13
ag_node9,p1,421.370426223,14
ag_node9,p1,421.370426223,15
ag_node9,p2,1008.3933143210915,3
ag_node9,p2,958.2828740119155,4
ag_node9,p2,958.2828740119155,5
ag_node9,p2,958.2828740119159,6
ag_node9,p2,958.2828740119155,7
ag_node9,p2,958.2828740119159,8
ag_node9,p2,958.2828740119155,9
ag_node9,p2,1149.6983983966006,10
ag_node9,p2,1149.6983983966006,11
ag_node9,p2,1149.6983983966006,12
ag_node9,p2,1149.6983983966006,13
ag_node9,p2,1149.6983983966006,14
ag_node9,p2,1149.6983983966006,15
ag_node9,p3,7.079023161,3
ag_node9,p3,7.079023161,4
ag_node9,p3,7.079023161,5
ag_node9,p3,7.079023161,6
ag_node9,p3,7.079023161,7
ag_node9,p3,7.079023161,8
ag_node9,p3,7.079023161,9
ag_node9,p3,7.079023161,10
ag_node9,p3,7.079023161,11
ag_node9,p3,7.079023161,12
ag_node9,p3,7.079023161,13
ag_node9,p3,7.079023161,14
ag_node9,p3,7.079023161,15
ag_node9,p8,89.17093952892829,3
ag_node9,p8,120.7932627582164,4
ag_node9,p8,120.79326275821643,5
ag_node9,p8,120.79326275821612,6
ag_node9,p8,120.7932627582164,7
ag_node9,p8,120.79326275821617,8
