#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,1516.1542509233768,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,629.0868751673756,2.991838500000003,42.01105575337393
2,43922.845652183285,1447.5033203323671,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,606.486124121057,2.991838500000003,39.28079258130493
3,66809.66378016921,1080.909725111938,1.5374146335247612,5428.940278125,57553.88230216146,1047.143475,686.9438209579523,299.1838500000003,203.10811792616684,2.991838500000003,13.75988724090482
4,64773.84726936341,990.7703113304476,1.578733225498359,5428.940278125,55326.89094715478,1047.143475,659.4881194337178,299.1838500000003,102.98959053445128,2.991838500000003,7.06868170386462
5,75723.82198445497,1101.301752930562,1.8486735888116164,5428.940278125,64748.98598273794,1047.143475,765.7307843711648,299.1838500000003,109.66129749844303,2.991838500000003,8.212253358697025
6,49894.36489548995,819.358586474111,1.2198065521551205,5428.940278125,42503.3970890307,1047.143475,513.2101558669975,299.1838500000003,89.42288106674181,2.991838500000003,5.53250134697547
7,64669.679304264355,992.61120813188,1.5829833823373634,5428.940278125,55201.82948685715,1047.143475,657.9089600499437,299.1838500000003,103.11385953358395,2.991838500000003,7.086758815339499
8,54148.49647185986,870.3053332035533,1.318987481427999,5428.940278125,46185.0395568442,1047.143475,555.4889623427506,299.1838500000003,93.86338200747102,2.991838500000003,5.959005065115191
9,72863.41461173301,1069.4667434915032,1.77979415639117,5428.940278125,62278.10153960842,1047.143475,737.9093682404849,299.1838500000003,103.74683020757305,2.991838500000003,7.597257480309527
10,81257.47756373406,940.9519257575503,1.7339209028566331,5428.940278125,70811.24027992297,1047.143475,840.1114131440662,299.1838500000003,0.0,2.991838500000003,0.0
11,86366.57197813007,1033.8508232296126,1.8301619996729037,5428.940278125,75362.90692347707,1047.143475,891.701121366248,299.1838500000003,53.20916762893422,2.991838500000003,3.9607868710885157
12,97526.97669870344,1013.1732155598891,1.9315115896525297,5428.940278125,85870.46678471868,1047.143475,1013.2931467788289,299.1838500000003,0.0,2.991838500000003,0.0
13,94414.61407538102,992.4945865815469,1.8737119562190558,5428.940278125,83092.19552538799,1047.143475,981.9994410639845,299.1838500000003,0.0,2.991838500000003,0.0
14,65819.62264047956,772.6501363171702,1.3237874740868045,5428.940278125,57692.28036295169,1047.143475,693.7658840658421,299.1838500000003,0.0,2.991838500000003,0.0
15,81207.74651951772,903.4369882437303,1.6362060157786695,5428.940278125,71268.65029844549,1047.143475,847.9940059825699,299.1838500000003,0.0,2.991838500000003,0.0
