#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,2.138803247792636e8,6.645849359054722e9
2.5431221463719704e6,2.6267039165210593e8,8.16189079479577e9
1.9092393115614345e6,1.6040924544483393e8,4.984356004350703e9
1.5560973061185484e6,1.1800827690054634e8,3.666841408680548e9
1.9210607107483805e6,1.8275875504671216e8,5.678816676299479e9
2.6067928106942493e6,2.741459382155638e8,8.518467557301941e9
2.879117185993429e6,3.042813188843512e8,9.45485663614417e9
2.9689175106173707e6,2.589076207921476e8,8.044971165401469e9
2.9985296167452415e6,2.6160767443052465e8,8.128869250746817e9
2.9679765409505223e6,2.5790932214914176e8,8.013951283588531e9
2.954601455267023e6,2.5668977198923773e8,7.976056509223952e9
2.950190953875321e6,2.5628761922515178e8,7.963560517868967e9
1.975736618926649e6,1.3367364309949838e8,4.1536073794172664e9
1.518594625514945e6,9.107859923767485e7,2.8300623303803234e9
1.3095575634758798e6,3.4007103431081735e7,1.0319069629064918e9
2.0144328727793773e6,1.904214377202107e8,5.778122440459196e9
2.6705833095403537e6,2.6227449962796083e8,7.958422066360035e9
2.9001524219983225e6,2.859684061225648e8,8.677386771477802e9
2.896033307695893e6,2.8347749530154634e8,8.601802909259218e9
1.9277554209616836e6,1.4429146702839032e8,4.378360827358833e9
2.523198965042558e6,2.4706291110061216e8,7.496843674361703e9
2.8515516973446854e6,2.768408594390823e8,8.400421725159536e9
2.9598276528829862e6,2.878525202039244e8,8.734558075214544e9
2.99553219069979e6,2.9148367040942913e8,8.844741207630198e9
3.007305940599975e6,2.92681060348741e8,8.881074646559923e9
1.8717629334224164e6,9.781011801341778e7,2.9679370377808437e9
1.3175688923618088e6,3.2288651043043315e7,9.797624752633779e8
1.8667702451244206e6,1.685464408747293e8,5.114350484574867e9
2.2745849462575396e6,1.6320567702028108e8,1.0087536595723282e10
1.6003215532278824e6,7.707412409104747e7,4.763854184160167e9
1.398129175938486e6,7.214356449541551e7,4.459102528051101e9
2.3214344708447866e6,1.732842639411523e8,1.071048131341734e10
2.7817187902302956e6,2.1063250966604358e8,1.3018929171447964e10
2.9367999025341e6,2.2294828046895227e8,1.3780151396967999e10
2.3547104200092535e6,1.6162130542904592e8,9.989608590401363e9
2.653470013040371e6,1.532867821001717e8,9.474462238736893e9
2.887909114601272e6,1.6886342493462613e8,1.0437234842606205e10
2.8919960158540667e6,1.6788836018223748e8,1.0376967322796227e10
2.3073681996902567e6,1.2107262468341683e8,7.483345889263808e9
2.4142652784654056e6,1.349679108876543e8,8.3421959651461315e9
2.789229820251906e6,1.6282268554131633e8,1.0063864376530642e10
2.939276702245693e6,1.720079367825156e8,1.0631593145089325e10
2.988755411953737e6,1.7252488233929983e8,1.1279203919427412e10
3.00507126391842e6,1.7350933797161296e8,1.1343564930291056e10
2.325981160023159e6,1.1985434763292724e8,7.83574872940971e9
2.717216960782779e6,1.561409657517094e8,1.0208068360981493e10
1.8395730865402184e6,7.722145238852611e7,5.048526894408057e9
